"","Gr.1.Mean","Gr.0.Mean","Gr.1.SD","Gr.0.SD","Gr.1.Skew","Gr.0.Skew","Gr.1.Kurtosis","Gr.0.Kurtosis","Gr.1.N","Gr.0.N","Pooled.SD","SMD.ES","A_ESCIIMP","CG_GENDER_R","CR_RACE_B","CR_RACE_W","CR_RACE_H","CR_RACE_O","CA_EAge","CSES_MOTHEMP","CSES_FATHEMP","CSES_MOTHED","CSES_FATHED","BM_EMTHIMP","CHL_FL271C_R","DAL_Persist","DSE_SelfEsteem","DLC_Control","DFS_FeelSchool","DEXP_SEDEX9","EEXP_FL76","EPAL_PCOPH9","EPEL_KMHSCPH9","A_ESCIIMP_1","U.TX_1","Y.R2_1","A_ESCIIMP_2","CG_GENDER_R_2","CR_RACE_W_2","CR_RACE_H_2","CR_RACE_O_2","CA_EAge_2","CSES_MOTHEMP_2","CSES_FATHEMP_2","CSES_MOTHED_2","CSES_FATHED_2","U.TX_2","Y.R2_2","A_ESCIIMP_3","CG_GENDER_R_3","CR_RACE_W_3","CR_RACE_H_3","CR_RACE_O_3","CA_EAge_3","CSES_MOTHEMP_3","CSES_FATHEMP_3","CSES_MOTHED_3","CSES_FATHED_3","BM_EMTHIMP_3","U.TX_3","Y.R2_3","A_ESCIIMP_4","CG_GENDER_R_4","CR_RACE_W_4","CR_RACE_H_4","CR_RACE_O_4","CA_EAge_4","CSES_MOTHEMP_4","CSES_FATHEMP_4","CSES_MOTHED_4","CSES_FATHED_4","BM_EMTHIMP_4","CHL_FL271C_R_4","DAL_Persist_4","DSE_SelfEsteem_4","DLC_Control_4","DFS_FeelSchool_4","DEXP_SEDEX9_4","U.TX_4","Y.R2_4","A_ESCIIMP_5","CG_GENDER_R_5","CR_RACE_W_5","CR_RACE_H_5","CR_RACE_O_5","CA_EAge_5","CSES_MOTHEMP_5","CSES_FATHEMP_5","CSES_MOTHED_5","CSES_FATHED_5","BM_EMTHIMP_5","CHL_FL271C_R_5","DAL_Persist_5","DSE_SelfEsteem_5","DLC_Control_5","DFS_FeelSchool_5","DEXP_SEDEX9_5","EEXP_FL76_5","EPAL_PCOPH9_5","EPEL_KMHSCPH9_5","U.TX_5","Y.R2_5","Adj.ES_1","Adj.ES_2","Adj.ES_3","Adj.ES_4","Adj.ES_5","ES.Diff_1","ES.Diff_2","ES.Diff_3","ES.Diff_4","ES.Diff_5"
"ES.05_1",61.865,60.5608,11.3382549384859,11.2195561516702,-0.267071171064262,-0.303969408683896,-0.360869868612686,-0.256386574593421,500,500,11.2790616917051,0.115630185883206,1.01198835450641,0.930521245059295,0.984176213684413,1.12152010605235,0.68448039186088,1.05862695667464,0.963233864600432,2.49000197294523,0.284822324101705,1.05977395659708,0.995247825599317,1.01134740626297,1.22186699605351,0.913690065530924,0.845292957247809,1.09951876223159,1.15344740130841,1.07777646487623,1.07596597417153,1.03867554222705,0.993790787895699,0.899378933032509,-0.0457872502508873,0.808643965667926,0.863053298367852,-0.0149078186672017,0.0447174590761828,-0.0017361777206257,0.0170555645408125,-0.0352373626930584,0.0130027162903466,-0.00737212647016647,0.0300982706626237,0.0236012279396646,-0.0770033238882619,0.814184015696944,0.74995940195034,-0.0223504792802136,0.0375837521208768,0.00154880429763074,0.00920008958213937,-0.01779398749862,0.0115293300489844,-0.00391678256987793,0.0280707963747174,0.00967133389718312,0.157535802774849,-0.13545100411803,0.823054411871486,0.734326418468151,-0.0215873549608403,0.0368060698165306,0.00201045979182258,0.00952428181161734,-0.0132951821709484,0.00865419061930864,-0.00160501186800654,0.0223627021869204,0.00282374972155207,0.144552957822851,-0.00187402059618924,-0.00389976565300273,-0.0184438079526028,0.0332776825519649,-0.0277152298251105,0.0306439966491238,-0.132442549807676,0.825302022543697,0.726934241253828,-0.0237626335754194,0.0403297407054099,0.00232008465703428,0.00732417360094637,-0.013078905249382,0.0105555308189727,-0.00515426235997772,0.0205066720488061,-0.00440492374062501,0.139331257280051,-0.001898732819788,-0.0040965124099606,-0.0147235183292213,0.0359036199003214,-0.0337004324231073,-0.00491900031882326,0.057955397291106,0.00381201196068793,0.0181583503414083,-0.14275972792532,0.827210606861979,-0.00405949107314133,-0.00682710370711881,-0.0120090666954719,-0.0117423375656396,-0.0126570571052297,0.119689676956347,0.122457289590324,0.127639252578677,0.127372523448845,0.128287242988435
"ES.05_2",61.58492,60.50328,11.2466827259542,11.8003121133954,-0.235143271678488,-0.428987062000758,-0.486739404329125,-0.100867108492023,500,500,11.5268217282958,0.09383679434764,1.00700504360714,0.93793831068082,0.763257577066571,1.08910472032234,1.08968609865394,0.808240193246231,1.12807393832189,1.02228175870327,0.815266302471119,0.926257174105509,1.00143306194608,0.998939701173067,0.887082204167426,1.2377174826826,1.0473930412162,0.995357341330031,0.769802829579299,0.94607481378099,0.950226071539403,0.988754613759026,0.882154795158529,0.905940738657906,0.27365849162873,0.821701407660044,0.875512214987053,-0.0182956845069609,0.0190362740475417,-0.000431686043623066,0.0139880632455715,-0.0190406733535713,0.0160923673114025,0.0289426565748896,0.0391967200704702,0.0128707474212894,0.349212947005537,0.826868164678643,0.779326874830093,-0.0219645331095525,0.0150544266888769,0.00069236456525237,0.00825856231350733,-0.00525137600155703,0.0162418652557971,0.031099818043619,0.0320259661936832,0.00342729665849008,0.13290537408842,0.434622011610804,0.833337491282612,0.768176268750758,-0.0209098936675884,0.0188088750178462,0.00210445932946861,0.00934712655406403,-0.000797592918610378,0.0158262188524743,0.0345045254305519,0.0300047230836833,-0.00486550326815862,0.11322009940524,-0.0200512101579853,-0.013984718793925,-0.0372884946593421,0.0106688165725414,-0.0167911091882943,0.0311671007040249,0.462669650623499,0.836431927492382,0.762792050349025,-0.0244651668378465,0.0185445080722435,0.000767252118328954,0.0066078411798265,0.00041892802812287,0.0149352741812859,0.0343479501781575,0.0302135469284069,-0.013290044289994,0.106749012940025,-0.0190219823102994,-0.0110574625491677,-0.0361441619221176,0.0151300115833278,-0.0215758884623744,-0.00582726085547253,0.0670393946207941,-0.00582324814870394,0.00603914445361329,0.479718201944354,0.838299843960325,0.0237410188236849,0.0302956838612587,0.0377052774698427,0.0401385274735141,0.041617560612285,0.0700957755239552,0.0635411104863813,0.0561315168777974,0.053698266874126,0.052219233735355
"ES.05_3",61.46078,61.22488,11.2819493863211,10.7061667556039,-0.110299400002406,-0.394165802372882,-0.429024352703054,-0.0648751183329681,500,500,10.9978267979249,0.0214496922286967,1.00582585557847,0.86573576799219,1.0177242112726,1.15432098764709,0.803335431462317,0.820788530692992,0.947187902840648,1.01583547046868,1.08607596978271,1.04360971470984,1.01846174318959,1.00287622299959,0.999999999999994,1.05097655104776,0.955946607555493,1.05166196703235,0.917687854082342,0.988080873571157,1.01276016136083,1.00092035696041,1.03578959224995,0.890581198630445,-0.37334826713106,0.792481450922307,0.864197482771233,-0.027118419700225,0.0609588700083246,0.0301149602927239,0.00355209166766657,-0.0197860532452596,0.0123491492641084,-0.0230944677859425,0.0623754883342671,-0.00186871738584391,-0.427982831270333,0.799573884660905,0.761860326471154,-0.0307093648324686,0.054512388673134,0.0242714883123571,0.00159108646929984,-0.00644901636509679,0.0151725468714159,-0.0225273657646444,0.0596270162032706,-0.0203833521485868,0.144871370229154,-0.406673870593275,0.80754232434102,0.757603093908425,-0.0321689876202299,0.0601249558778636,0.0258410308828148,0.00308683923613733,-0.00381877925962314,0.0148348950104979,-0.0223897959212877,0.056219887406698,-0.0239252556630498,0.137399440977141,-0.00679183615737874,-0.0088755430038222,0.000883612898147405,0.00801665950856527,0.00644221645777754,0.0180777205748961,-0.393176070307798,0.808216554899155,0.750861376709732,-0.037799501281683,0.0600997792706676,0.0252560216740806,-0.0003009720018231,-0.000409586850533552,0.0126114181328931,-0.0217921216828681,0.0547281480789433,-0.0343590110990853,0.128750011641872,-0.00913211653100667,-0.00975406206498099,0.00501114071652777,0.0104528353442024,0.00237326578314044,-0.024058714487262,0.0760997924284406,0.0013010995215507,0.00143579937259275,-0.412783258257014,0.810705514021219,-0.0339474583470896,-0.0389152183548742,-0.036977657319536,-0.0357503420932201,-0.0375331659464668,0.0553971505757863,0.0603649105835708,0.0584273495482326,0.0572000343219168,0.0589828581751635
"ES.05_4",61.06278,60.46944,11.4753225893069,11.3844092351631,-0.307022193378509,-0.45113578919575,-0.209272134506731,-0.171937453646573,500,500,11.4299563026795,0.0519109596124099,1.00411566178737,1.14588267600246,0.86631016044572,1.00000000000001,0.93813412521661,0.969343960760269,0.912427177163527,1.2677950376945,0.971958431753163,0.976462726221421,0.979021435151928,1.00096657895772,1.34153004656249,0.89939457545065,0.943253038959037,0.989828111879066,1.11018410790641,1.03587982585468,1.02593125321025,1.01962525023766,1.01853774221562,0.904034222231337,0.125463977761722,0.817532998258531,0.881312460968864,-0.00100297126295249,0.0106725542517676,0.0140380815532258,0.0156675713325349,-0.0139000535291792,-0.00195832613703714,-0.000299606983523998,0.0617377801993938,0.0152184443155832,0.156117503937618,0.822836159926487,0.783146122326369,-0.006800173165888,0.0102704247588593,0.0140747366163382,0.00764970089777097,-5.0712531452935e-05,0.00214313170214978,0.00101684343430981,0.0587615796730003,0.00412987683957329,0.131576760502492,0.196041583404457,0.828876574200279,0.780908675003452,-0.00934271602392507,0.0192213588450764,0.0197163988003118,0.00951287533940622,0.00170237807542978,0.0032521964269381,0.00362804404198032,0.0568517182218631,-3.07737955945098e-05,0.123044190990337,-0.0186635967030349,-0.0190022897145074,-0.00174364609554353,-0.00168525213497451,0.0193768690137165,0.0173762057290744,0.171016088161978,0.830826663727841,0.776184216533666,-0.0124993091247787,0.0201948408773688,0.0192235754333714,0.00908420367472676,0.00527056165621312,0.00390224668231885,0.00463027187899057,0.0544821456550166,-0.00523666377640763,0.118024876356051,-0.0190213208015316,-0.0184355122588431,-0.000588969965078971,-0.00111039520636972,0.0147795688057834,-0.00589062023195795,0.0334730612477774,0.0135710403091532,0.0104331395446937,0.167860503875127,0.831660566954845,0.0109767679280025,0.013658626490201,0.0171515601821242,0.0149620946601421,0.0146860144894671,0.0409341916844074,0.0382523331222089,0.0347593994302857,0.0369488649522679,0.0372249451229428
"ES.05_5",61.3429,60.6873,11.5883765010402,11.2172372057946,-0.347231290088062,-0.299664754386502,-0.321204428319211,-0.299198780318784,500,500,11.4043167366774,0.0574870038370229,1.00156229082909,0.953007518796993,0.721603567821831,1.09784735812098,0.891020052314761,0.816811473106595,0.96665379819617,1.03316947623695,2.14022739551173,1.05083960631773,1.00749040160674,1.0049652550835,0.609130807241664,0.79576685316753,1.0049894986285,1.06108302913213,1.1270542870823,1.09512815546875,1.06381788181538,1.05610654094363,1.01465393381333,0.895825455197697,0.479768234199204,0.80327090748406,0.86597514584704,-0.0215015379083399,0.0494498252320922,0.0157036890180818,0.0412814909866334,-0.0455924813561459,0.00280836188190982,-0.00507946332618664,0.0408287986014837,0.00545743177502791,0.457873494495344,0.810167380653478,0.770816452231399,-0.0258487739695975,0.0409717240876435,0.0151887436114914,0.0318212852821607,-0.0317299052692736,0.00418338979318918,-0.00387035381143237,0.0343422913109128,-0.000323457177900838,0.131258157313284,0.388106086686665,0.816439731876524,0.749734880786655,-0.0307102184490473,0.0510222790526706,0.0196107344908336,0.0322298199731161,-0.0273301964791741,0.00234636878283967,-0.00607933646178903,0.026536233496325,-0.0079230631931798,0.115701352879005,-0.00546951537345278,-0.0264503668974007,-0.00284498970054986,0.0349382968729728,-0.00735432978065018,0.040723290898058,0.294458577530817,0.819860390179375,0.738657049900765,-0.0363301647989567,0.0539316567882448,0.0190078895521321,0.0301904002790768,-0.0253208144157068,0.00318290036229378,-0.00816630429536952,0.0260227333666367,-0.0177630229188348,0.109924298978087,-0.00338097147426625,-0.0265709182442322,-0.00121495668199219,0.0390230188186974,-0.0138758267026756,0.0044318185756708,0.0605626914336247,0.00913597776634304,0.00438692186973905,0.276525675218525,0.821613424647708,0.0420690029290594,0.0401491387048886,0.0340315071606593,0.0258199227827309,0.0242474566081798,0.0154180009079635,0.0173378651321343,0.0234554966763636,0.031667081054292,0.0332395472288431
"ES.05_6",61.38572,60.55168,11.5583796772353,11.4637364451634,-0.382857002719251,-0.270542696705922,-0.346417719688202,-0.378400141214859,500,500,11.5111553296638,0.0724549340282737,1.00444308078194,1.04082565810961,0.999999999999999,1.11076405041893,0.689441005393016,1.06516780710317,0.936871883988266,0.615365441868849,0.638700665649228,0.995038956201529,1.00883598619281,1.00273160190218,0.774622494569363,1.04368096895774,1.09818907040573,0.972793678199065,0.945787409575619,1.00964894690681,0.979418765445381,1.00231458954441,1.00697385223785,0.897087405551573,0.328196294337883,0.805596049407336,0.875047030601092,-0.00207313219654055,0.0263577753446037,0.00809360675570706,-0.006972000540026,-0.0164185983365187,0.0150911210708154,0.00513084195587716,0.0534322802383411,-0.00704739330376225,0.347085435742237,0.809773490827895,0.773819288100351,-0.00800723157254564,0.0170597561463243,0.00293854940195074,-0.0144520693208759,-0.0043887832054507,0.0134737102617932,0.00576756144603038,0.0452062154869679,-0.0173793061732402,0.146252711987142,0.355830107815357,0.818554464748017,0.757448984796338,-0.0107498177470436,0.0212802716331219,0.00497437134507616,-0.0145317010858036,-0.00437039307986966,0.0152045365938777,0.00411704740876557,0.0418419814955255,-0.0208959711416263,0.139994127195462,-0.00747831468095169,-0.0257805508545098,0.000333920158818721,0.0308434926453461,-0.00974398784852357,0.0136246897471853,0.374178758555824,0.820140866217189,0.75110866390532,-0.0153461572164449,0.0209300264127727,0.00451636499746774,-0.0168682523832166,0.000467888076781758,0.0129857988252157,0.00314514243180446,0.0396113689985993,-0.0262209128462814,0.130647784835099,-0.00819461610047359,-0.0262898246272998,0.00162751364082093,0.0332582144055022,-0.0158340251406045,-0.0184913862358146,0.043399324621772,0.0250453305249836,0.00302389581626124,0.39680036461011,0.821611892321457,0.0285111515689597,0.0301520938430751,0.0309117632092408,0.0325057518415706,0.0344709417296777,0.043943782459314,0.0423028401851986,0.0415431708190329,0.0399491821867031,0.037983992298596
"ES.05_7",61.63156,60.79588,11.2730960679093,11.5240045116952,-0.242575689903758,-0.238224183307406,-0.446343972452183,-0.229323268066776,500,500,11.3992406532603,0.0733101463000513,1.00943460041649,1.1101321585902,1.13668671404045,1.13020833333104,0.836841246628665,0.780058652040833,0.96675922410883,2.03402150307844,1.12080815437618,1.00782220865752,0.972711096318326,1.00906588697873,1.12729124234722,0.99257820425115,0.900094227913093,1.14667784901285,1.1093755076729,1.13607140667368,1.12075599621334,1.01761979159004,1.02762071756694,0.893318418644137,-0.228884815108905,0.797180460886319,0.865363032140446,-0.0346424988720829,0.0525445265054015,0.0151548794983474,0.0311408303370673,-0.0306280731046765,0.0268886020804735,0.012357090724479,0.0235624575842485,0.00397077130697626,-0.209586628648109,0.803564263491128,0.772600487687941,-0.040123571590732,0.050528658841279,0.018944732006611,0.0225022049261553,-0.0185935682578037,0.026476888034955,0.00830536818331065,0.0173767507788803,-0.0041780127665083,0.130271294036733,-0.262764385435085,0.809822112543198,0.759313404849982,-0.0384964523478187,0.0510262166525511,0.0206584053479404,0.0248415854716633,-0.0152396212114134,0.0275708838825558,0.00665364392483295,0.0137600266620127,-0.00886193317636561,0.117460444213364,-0.0165095235572994,-0.0161552456272457,-0.00671688986702812,0.0344893843930001,-0.0228916567330085,0.0181168566340609,-0.288776479159418,0.811649051720729,0.754092497996048,-0.0418982496585217,0.0529438617018562,0.0197886386671958,0.0241198327119257,-0.0149528209899165,0.028045949286994,0.00477012363528074,0.012324384762543,-0.0136991890902993,0.11065861157467,-0.0157669723689472,-0.0178380708034451,-0.00439809608994689,0.0377252097687432,-0.0244477340210029,-0.00695131014371934,0.0370947901967466,0.0131028970909602,-0.00378678999313285,-0.299528926502136,0.812448517498098,-0.0200789528066891,-0.018386016667537,-0.0230510429095935,-0.0253329575138696,-0.0262762174791413,0.0933890991067404,0.0916961629675883,0.0963611892096448,0.0986431038139209,0.0995863637791926
"ES.05_8",61.46352,60.30482,11.4204674757353,11.8486011522936,-0.290616323158889,-0.317937419347911,-0.45766559003367,-0.185925063035759,500,500,11.6365034832303,0.0995745845536712,1.00561707140192,0.811834182501571,1.22001760116638,0.940656340869992,0.81027940694337,1.05862695667463,1.18759343094471,0.598552494236817,0.432929761460305,0.96149792776144,0.921498982923877,1.00485014565184,0.902603138349684,1.00249912268352,0.922776425652428,1.05055307208868,1.01550002114537,1.04856053363772,1.00237240086642,1.00774525208186,0.979078919438415,0.903265281533918,0.492267681733968,0.817546162240084,0.877659913443589,-0.0257758900340086,0.0585740946676017,0.0317905818773087,-0.00563763413888273,-0.0170587646975166,0.0209549086330351,-0.0118957073662186,0.0418854264775872,0.00468134711689183,0.57441918603193,0.823112703938182,0.782148326500067,-0.0320157460913284,0.053879709589209,0.0346722481983344,-0.00587708295193151,-0.00247732621502932,0.0205340546632375,-0.00610696781104964,0.0337002542232042,-0.00630453072303189,0.133460728421891,0.514439912383323,0.829379615382343,0.768432289945558,-0.0325536895604683,0.0625329221023838,0.041043885931566,-0.00260283493850146,0.00181888951391888,0.022651690313394,-0.00550047736102944,0.0303094639647194,-0.0123288206626898,0.122418256894972,-0.00775067491829217,-0.0141115905472315,-0.00635178908415178,0.0271674341571326,0.00591952926585306,0.0177924706121379,0.498322202933985,0.831005561157299,0.762121649299884,-0.0361891746331086,0.0621541319295806,0.0384744965992692,-0.00518444975200039,0.00397048435976734,0.0227961131646782,-0.00599019387097796,0.0288941860822235,-0.0184064020527786,0.115061983272825,-0.00838813576564455,-0.0143161110668605,-0.00219711904101978,0.027571750750386,0.0029869940960637,-0.019903374185001,0.0575331563428272,0.0090756079103817,0.00773164727614999,0.521166375458249,0.832530991012085,0.0423037454887879,0.0493635555439606,0.0442091486609099,0.042824049651352,0.0447871971343727,0.0572708390648833,0.0502110290097105,0.0553654358927613,0.0567505349023191,0.0547873874192985
"ES.05_9",61.19732,60.72252,11.7883307852726,10.8435060610945,-0.187270767405213,-0.351744275969359,-0.262100921093139,-0.403888943083254,500,500,11.3257751699387,0.0419220753437028,1.00856309666568,1.18323328214121,0.860205032641565,1.19573302013041,0.835333723746129,1,0.962824494517001,0.954128189017682,0.988258254179476,1.00057036219552,1.04459452678721,1.00656761793951,0.722838145974189,1.05144233364655,1.05620153889685,0.876100397904693,0.90647593980272,0.954091388141576,1.02327168439882,0.98090531996143,0.946947589648144,0.901939443398827,-0.463513368218184,0.812216197801791,0.868839674434437,-0.0319395697168663,0.0239970468398404,0.00577506691486798,0.0122977105219481,-0.0249931101570699,-0.00125654676738022,-0.00330153228584488,0.0621925584040677,0.0166381306217857,-0.433188281117502,0.819370476642624,0.770566108809837,-0.0417382209173795,0.0166038112054311,0.00487345781474243,0.00809078467132276,-0.0154574976744032,-0.00330525235664028,-0.00519458054363677,0.0538834462640023,0.00815675132451286,0.141726363276278,-0.434920169074141,0.827579645637714,0.75275520628071,-0.0434157636409531,0.0183132591594714,0.00580730301343713,0.00951302226694668,-0.0156845073504098,-0.000314273407755813,-0.00797114767675031,0.0532633889907421,0.00567702517079193,0.137523683732323,0.00967532356705101,-0.0183879906322238,0.00554643287150332,0.0516942564892502,-0.0105838363002866,-0.00212381607483013,-0.361558034482783,0.82983356256186,0.74437654354137,-0.0475381220698989,0.0214982874812791,0.00488011435985662,0.00725709012354938,-0.00993104465777406,-0.000911195335466609,-0.00853038410988306,0.0497098186563064,-0.000318504008307041,0.127005804218105,0.00910886423782898,-0.0202883502123032,0.0113452231298481,0.0508836931184332,-0.0188748967757034,-0.0362796114949108,0.0416815613647551,0.035563477510465,0.0210597222115808,-0.3489535856893,0.832292276736012,-0.0409255314769499,-0.038248002862293,-0.0384009184844604,-0.0319234691716681,-0.0308105697361454,0.0828476068206527,0.0801700782059958,0.0803229938281632,0.073845544515371,0.0727326450798482
"ES.05_10",61.64482,60.5022,11.2838723902674,11.3675230865059,-0.242175845511217,-0.416481093988496,-0.416958669465503,-0.0492564859086762,500,500,11.325774967791,0.100886694574937,1.00545590162181,0.9683939379573,1.0386085479325,0.776881336796272,1.46573190835548,1.29773719489591,1.01569266013833,0.769985161793478,0.646085829091459,0.997268890729655,1.03854124132184,1.0066551901252,1.06906399301851,0.988003597046232,0.956419539010367,1.13453028426353,0.982863574871045,1.04978558240209,1.01188732450357,0.998135008786165,0.940673835395074,0.904139626675639,0.534038971604253,0.819290163793464,0.889065263091825,-0.00167339243128721,0.012664166067847,-0.00654335892252278,0.0115897654525821,-0.0101466117913737,0.0136413322254033,-0.0125082617686577,0.0570841155434911,-0.0181555126668804,0.570847591538487,0.822569031621979,0.793995686683314,-0.00872939126268397,0.00582178442387291,-0.00849218682726691,0.00738401270352586,-0.0003896888265171,0.012067876792756,-0.0113603654317246,0.0454469600082333,-0.0269619092467857,0.133002056621506,0.512986657779515,0.829222570324347,0.787873494882053,-0.00849142957009514,0.0147684135637151,-0.00379106692390713,0.0107615429958445,0.0018559994722336,0.00762274390773124,-0.0112335056967025,0.0403411654889174,-0.0305623276121796,0.117928744057922,-0.0193341979917619,-0.0217058526019462,-0.00878140195725273,0.00201226294610647,-0.0136184164574764,0.0375528827532861,0.497953795360185,0.831552075884855,0.776686028118796,-0.0152202581011875,0.0193234130484692,-0.00495336146627593,0.0102422347057365,0.00658210057358264,0.00674262069276365,-0.0118124511533837,0.0369205734018325,-0.0415428187535364,0.110426987666284,-0.0204851845094029,-0.0235074458749089,-0.00589632277025005,0.00529789201339587,-0.0209920859357934,-0.00254031452578646,0.0612269692494385,0.020461013194644,0.00891087518522304,0.547616603688881,0.833871874278383,0.0471525324424145,0.0504025193120912,0.045293735681521,0.0439664214392655,0.0483513583173097,0.0537341621325225,0.0504841752628458,0.0555929588934159,0.0569202731356714,0.0525353362576273
