"","Gr.1.Mean","Gr.0.Mean","Gr.1.SD","Gr.0.SD","Gr.1.Skew","Gr.0.Skew","Gr.1.Kurtosis","Gr.0.Kurtosis","Gr.1.N","Gr.0.N","Pooled.SD","SMD.ES","A_SCIIMP","CG_GENDER_R","CR_RACE_B","CR_RACE_W","CR_RACE_H","CR_RACE_O","CA_AAge","CSES_MOTHEMP","CSES_FATHEMP","CSES_MOTHED","CSES_FATHED","BS_ASCIIMP","CHL_BL291_R","DAL_Persist","DSE_SelfEsteem","DLC_Control","DFS_FeelSchool","DEXP_SEDEX7","EEXP_BL127","EPAL_PCOPH7","EPEL_KMHSCPH7","A_ASCIIMP_1","U.TX_1","Y.R2_1","A_ASCIIMP_2","CG_GENDER_R_2","CR_RACE_W_2","CR_RACE_H_2","CR_RACE_O_2","CA_AAge_2","CSES_MOTHEMP_2","CSES_FATHEMP_2","CSES_MOTHED_2","CSES_FATHED_2","U.TX_2","Y.R2_2","A_ASCIIMP_3","CG_GENDER_R_3","CR_RACE_W_3","CR_RACE_H_3","CR_RACE_O_3","CA_AAge_3","CSES_MOTHEMP_3","CSES_FATHEMP_3","CSES_MOTHED_3","CSES_FATHED_3","BM_AMTHIMP_3","U.TX_3","Y.R2_3","A_ASCIIMP_4","CG_GENDER_R_4","CR_RACE_W_4","CR_RACE_H_4","CR_RACE_O_4","CA_AAge_4","CSES_MOTHEMP_4","CSES_FATHEMP_4","CSES_MOTHED_4","CSES_FATHED_4","BM_AMTHIMP_4","CHL_BL291_R_4","DAL_Persist_4","DSE_SelfEsteem_4","DLC_Control_4","DFS_FeelSchool_4","DEXP_SEDEX7_4","U.TX_4","Y.R2_4","A_ASCIIMP_5","CG_GENDER_R_5","CR_RACE_W_5","CR_RACE_H_5","CR_RACE_O_5","CA_AAge_5","CSES_MOTHEMP_5","CSES_FATHEMP_5","CSES_MOTHED_5","CSES_FATHED_5","BM_AMTHIMP_5","CHL_BL291_R_5","DAL_Persist_5","DSE_SelfEsteem_5","DLC_Control_5","DFS_FeelSchool_5","DEXP_SEDEX7_5","EEXP_BL127_5","EPAL_PCOPH7_5","EPEL_KMHSCPH7_5","U.TX_5","Y.R2_5","Adj.ES_1","Adj.ES_2","Adj.ES_3","Adj.ES_4","Adj.ES_5","ES.Diff_1","ES.Diff_2","ES.Diff_3","ES.Diff_4","ES.Diff_5"
"ES.05_1",53.89176,53.68976,11.0038085455634,10.8533336835506,-0.165354458677218,-0.252744858729392,-0.647476867800089,-0.741100118493462,500,500,10.9288300964446,0.0184832226521403,1.003849689717,0.786032180785809,1.28997834700427,0.989580728515459,0.816933638610269,1.5328974700934,0.947823808208623,1.37097055591046,0.953400060158342,0.969643148050676,1.01089246146005,0.999512066929112,0.825732870240255,1.05470404017976,0.917074608426862,1.09254008620047,0.849616818798465,0.956548500755473,0.945709089898516,1.00417526762869,1.01770279207551,0.821037402787215,-0.148849974234458,0.67392984053201,0.787980878328901,0.0270429560880035,-0.0247646279397484,-0.0622491415895972,0.0259680656470847,-0.0754154499818418,0.0396468268934071,0.0289340162025706,-0.00972356358223082,0.0337127851572184,-0.228687574963305,0.690771473030735,0.663537201412686,0.0140150316634962,-0.0322199232664937,-0.0618824415421134,0.0173612252583648,-0.0501744297832837,0.0372917870557654,0.0324370642536682,-0.0120033240161501,0.0140410018751732,0.191276495320179,-0.159971923427657,0.707252227252219,0.644737813157507,0.00978555814387041,-0.0341475378565316,-0.0584492037599424,0.0182326520927808,-0.0410675078791049,0.0323427563165478,0.0336423605672805,-0.0170415330186357,-0.000306324820999547,0.184293977270085,-0.0141332117831042,0.00277576956337629,-0.0411821055738926,0.0185045099382917,-0.00974447378121883,0.0494350801914197,-0.17546593095724,0.711538368878622,0.64621920485785,0.01247589623415,-0.0295057923959308,-0.0590964923955686,0.0194197253601039,-0.0399673911695288,0.0296597919148632,0.0342507451325266,-0.0172519797560058,-0.00510801972597858,0.180693968305959,-0.0139340978784359,0.00410281807338098,-0.0398434206110195,0.0186212699140038,-0.00762860550989768,0.0498930844347876,-0.0177172701839141,0.0384329306124103,-0.00880279490742843,-0.183515746575635,0.712557999536635,-0.0136199367105983,-0.0209251651773506,-0.0146376073208146,-0.0160553260878603,-0.0167918930897587,0.0321031593627387,0.0394083878294909,0.0331208299729549,0.0345385487400006,0.035275115741899
"ES.05_2",54.23276,53.36834,10.859370822092,11.3626029648436,-0.0895425665779369,-0.141460916574222,-0.707694605827257,-0.667715655616576,500,500,11.1138355392811,0.0777787287696276,1.00537266032253,1.17371968591261,1.11288137779545,1.06278252134605,0.879749879758357,1,0.946760683900719,1.3567269059815,0.876569160636941,1.11384287463911,1.07667482848948,1.00731533670481,0.86256211662772,0.888362687291761,0.998995019384642,0.869397503867991,1.00818311103621,1.05347779277121,1.05009691657657,1.10154933771292,1.03028547861567,0.815280283421894,0.364003721820906,0.665687969027093,0.775429943157693,0.0436844536301765,0.0208803060587488,-0.00183817443192767,0.00971360026720679,-0.0669664248498762,-0.0178048195643439,0.0451429641443874,0.0133862862936802,0.0405792263201431,0.271739434467418,0.679789893987163,0.656705397886375,0.0276723379980739,0.011186587258923,-0.00453788813602786,0.0067434683374721,-0.0447200029650626,-0.0154994877509459,0.0387932814191931,0.00332601729836925,0.0212208164680719,0.193632553183975,0.245013535870925,0.697423593085822,0.634813103607194,0.0257844178249293,0.0175879623900086,-0.0017251372414444,0.00573382241612713,-0.0300748596733289,-0.0254850810598978,0.03938486306202,-0.00519825024566182,0.00298142238741165,0.176368695671565,-0.00235800946163433,-0.0154359409690868,-0.0310625611365483,0.0361541387667484,-0.0315470089542485,0.0731835780872823,0.27444292973225,0.704424801224253,0.634294675878948,0.0262779920911341,0.0189024136831962,-0.00133450651320876,0.00602125923286279,-0.0284072063069531,-0.0253852576263391,0.0398447512654293,-0.00705317865566927,0.00130096433738587,0.175080958207085,-0.00369805018945135,-0.0158884573239216,-0.0300388926332865,0.0360269071537297,-0.031241601880589,0.0684766689035999,0.00487696228982562,0.0114525398910931,-0.00127381178310956,0.266885845602456,0.704573304326518,0.032752304146877,0.0244505538620733,0.0220458126274174,0.0246938087901561,0.0240138379463296,0.0450264246227506,0.0533281749075543,0.0557329161422102,0.0530849199794715,0.053764890823298
"ES.05_3",54.21394,53.79648,11.0785626403768,10.9682123874199,-0.086177614436409,-0.183183491463669,-0.679755400309475,-0.68678466543504,500,500,11.0235255964756,0.0378699170557075,0.999553346696853,0.923101767121404,1.14226774788889,0.833568295771187,0.76325757706657,0.941877361232263,1.10171851817312,1.89581993400961,1.22066999727276,1.04063165364307,1.07946555662922,0.996246371920281,0.734484037431365,1.06388613549616,1.0905517134432,1.06990402368698,1.02765478849319,1.07422480309128,0.991877930488764,0.962075616251838,0.88532415230759,0.822828592971423,0.458981340602378,0.677402462880509,0.79161155867489,0.0323692053987043,0.0084996559869673,-0.0435980299366312,0.0286413488969073,-0.0611167533390083,0.00534020066455872,0.0301682314516714,0.0169203249805298,0.00270408596466589,0.461273568437067,0.68802374742646,0.660916861200051,0.0196057607569625,-0.00855533151748389,-0.0429838902061982,0.0207330529714419,-0.0348474407616326,0.00344471680413664,0.031872743547989,0.00819162519411933,-0.00957919342230214,0.202624604701383,0.517852459928297,0.7059774374423,0.645831145047652,0.0221011804335576,-0.00948267822168862,-0.0423838483884164,0.0228271545050896,-0.0276595668714322,-0.00253943275587087,0.0320932513253506,0.00396251016094325,-0.0212159078446671,0.193917239865043,-0.00240746219055357,-0.0125993763797009,-0.0144842132024435,0.033391496199679,-0.0400885410814696,0.0375054655912717,0.491175110443486,0.708869271485073,0.64387002636668,0.0200079607437,-0.0058357183338538,-0.0355420728509597,0.0221629833143147,-0.0217085357304894,-0.000396016230520339,0.0316410251030001,0.00110242988536008,-0.0267552042411267,0.186211316451793,-0.00485465410504438,-0.0141070870249594,-0.00969006722537053,0.0322711285978987,-0.0430308902016572,0.00763499041111854,0.0565926083677938,0.0113901087304484,-0.0061133809176876,0.527133820606436,0.711061172786343,0.0416365287661801,0.0418444683962583,0.046977027031521,0.0445569891542252,0.0478189864025871,-0.00376661171047265,-0.00397455134055089,-0.00910710997581357,-0.00668707209851769,-0.00994906934687961
"ES.05_4",54.4073,53.64392,11.3012429180593,11.1336552664786,-0.088664452762629,-0.130503547121964,-0.696425953247345,-0.624879948779296,500,500,11.2177620559043,0.0680510066264247,1.00327354340064,1.04925380485642,1.00000000000001,1.05493781039861,0.682568485418445,1.15129508590457,1.08631398073312,2.17696781061713,3.28116737365149,0.977253635251391,0.931521854372141,0.997388184759495,0.756030968771012,0.972665670835077,0.943124794097677,1.04449158690392,1.07994589212986,0.938117187742492,0.941749954492934,1.01768239025095,0.937976455311972,0.825502930969829,0.445763869845111,0.682413214786317,0.793580451003708,0.0149867804244615,0.0184602595308801,-0.0259418492272096,0.039049431368741,-0.0310330465650204,0.00652412756705228,0.0298225810210664,0.0117216005003026,0.0255129441352184,0.397083122470135,0.689169536199057,0.672719724293895,8.87393398302325e-05,0.00808251463577904,-0.0292206898480241,0.0303316714725998,-0.0154330088082702,0.00695408835857267,0.0284928113528358,-0.00165080874504391,0.0034632621161487,0.188121414741811,0.472994419194769,0.704313125740402,0.656051478543705,-0.00583696209815701,0.00699853329257357,-0.0261997140248961,0.0326445099220357,-0.00747118289619126,0.00483800463257768,0.027105727683275,-0.00756218538792792,-0.0113417341778647,0.179422048128796,-0.016292208329774,0.0176231720010466,-0.010041444355328,0.0329965199390032,-0.00642337933638659,0.0560258904342115,0.497447417093266,0.708008537088623,0.657869020013835,-0.0041703359910905,0.00860995523714633,-0.0264755805914763,0.0325637101733794,-0.00890787142771712,0.00331384973796142,0.0268750624114367,-0.00730528106192888,-0.0122883540175421,0.179987164874659,-0.0155730222803045,0.0187092416622342,-0.0107901323226587,0.0328520181384768,-0.00460698932633351,0.0614449173569575,-0.0202927089645439,0.014648392488277,-0.00168832137670145,0.478028691134525,0.708232009310657,0.0397373261817843,0.035397713063555,0.0421647755441395,0.0443446219142652,0.0426135523959454,0.0283136804446404,0.0326532935628697,0.0258862310822852,0.0237063847121595,0.0254374542304793
"ES.05_5",54.43052,53.33124,11.0505233116138,11.1490206469075,-0.145084436882727,-0.112238685737768,-0.713542495265866,-0.649998788498057,500,500,11.099881234628,0.0990352938705876,1.00868072279603,1.06609822195783,0.893149346687647,1.0206987911906,1.15003750935814,0.851930822140351,0.956027130349733,4.89982758260807,0.500173235916006,0.990999822199073,0.992152733070809,1.00779800553682,1.40559619695138,0.903380381990811,0.965428181137869,0.920301560964817,1.13633647683627,1.05851962212908,1.07781656473977,1.16541223409071,1.01635101582909,0.842655153371892,0.247365489060329,0.711046626518027,0.81384010411591,0.0362198586740696,0.0286408273578363,0.0188195476554184,0.0157931694336481,-0.0528773415144888,0.0264979412507676,-0.0174101378264267,0.0045543659127094,0.0360696373164354,0.188474939318636,0.719003176474779,0.669396575202373,0.0140644309148097,0.014458946096595,0.0162200914590051,0.00581561543197269,-0.0289521144926167,0.0290336291868313,-0.0179328747111736,-0.000146631791310997,0.00900537403228136,0.221091787130282,0.144604427666164,0.739305567665416,0.651817727258311,0.0181525708810959,0.0120289651149282,0.0196494159683866,0.00656980527434681,-0.0221854331251624,0.0278755818601561,-0.0197198441520769,-0.00475068429462948,-0.00886941078234243,0.211284228461918,-0.0131926818655191,0.0101436114266746,-0.042026121979132,0.0358709784330461,-0.0363842957432681,0.0414989987196487,0.202886980659997,0.743912694026578,0.649680323960439,0.0152553307923632,0.0093261005668621,0.0194671629382583,0.00576683493281995,-0.019454506890471,0.0297230762003439,-0.0210246994400273,-0.00498805597847741,-0.00920651248915823,0.209471791506464,-0.012625577375901,0.00854666875507844,-0.0402578549244423,0.0347699990435674,-0.0358512919942193,0.032192993457427,0.0274201039452574,-0.00894125072400744,-0.0179901885500936,0.196615416187136,0.744498941564487,0.0222854176393015,0.0169799059408542,0.0130275653053878,0.0182783019359754,0.0177132900822183,0.0767498762312862,0.0820553879297334,0.0860077285651998,0.0807569919346123,0.0813220037883693
"ES.05_6",54.55044,53.65744,10.9179436705997,11.1607017150331,-0.197844219580292,-0.127528093039005,-0.585625184234308,-0.656089117535415,500,500,11.0399899630012,0.0808877546983968,1.00743564659719,0.968503937007876,1.0918577307459,1.02156287735036,0.858615055950694,1.0690750846168,1.04776828025174,0.810278161088065,0.857416948005222,1.09523918001157,1.02123107487864,1.01135002283428,1.59887903961117,0.858483892031127,0.634214724616741,1.00397008900329,1.15403144456903,1.07992781516731,1.05621448718664,1.09803242013872,0.979976709716107,0.822009502524547,0.213713877775178,0.676389107834455,0.792863235738954,0.0501976918937264,-0.0156605709384388,-0.0149459324041501,0.0299912661822408,-0.0777960048117593,0.000238799508145931,0.0324786099341868,-3.5212242608779e-05,0.0359078659433081,0.25298005444078,0.689874002807693,0.641772524015144,0.0299104596149811,-0.0229527920653738,-0.0195632417072487,0.0226674080477783,-0.0470267125969948,0.00535999685251277,0.0349183722372338,-0.0121179163214515,0.0154666505167435,0.230206986719915,0.099104559678866,0.712583599413591,0.62853148192212,0.0314590443039777,-0.0261176106316696,-0.0245760793212115,0.0206285830877182,-0.0402101865742589,-5.89409865917948e-05,0.034197796498211,-0.0147735356526625,0.00340701271559676,0.221039388245911,0.00697237387092967,0.00159175376578678,-0.0117063593791149,0.0336849711171664,-0.0470955334826661,0.0416385029557046,0.0772345275885828,0.716101443932062,0.626213053736849,0.0299887976293613,-0.0269745115490815,-0.0240123822725423,0.0216547333148464,-0.0381800913817977,0.00231775315097047,0.0338959843331528,-0.0150913165513893,0.00391466252091692,0.21938894406602,0.00593726525796821,-0.000656072575357399,-0.0102193331924512,0.0331049591666548,-0.048825750655614,0.0273549848491295,0.0350450219257746,-0.0148995117449142,-0.00475165506077387,0.0863515300942581,0.716618198935434,0.019358158702264,0.0229148808367221,0.00897687045106017,0.00699588748245447,0.00782170367759863,0.0615295959961328,0.0579728738616747,0.0719108842473366,0.0738918672159423,0.0730660510207982
"ES.05_7",54.45694,53.36286,11.1609365308154,11.4800212629069,-0.164916266272576,-0.141799854480612,-0.731787865905383,-0.651932547770816,500,500,11.3216030764571,0.0966364915473069,1.0084995432127,1.07535416457348,0.918868046992073,1.01125416404069,1.07757049218454,1.15949980855497,0.803106011194195,1.43540424220385,1.121853070119,1.07353194821894,1.00504874902489,1.00847518651039,0.859797603762527,0.812526686382309,0.745751742641235,0.990212824339602,1.1332506896346,0.988887027877095,1.07397555077744,1.06326145340023,0.91939187789312,0.840799325692619,0.254373195987361,0.70790259480726,0.807072508719993,0.00186651983334259,0.0419688145426197,-0.0216253142897453,0.016324569365469,-0.04994302137107,0.0458229591319585,-0.0090945674928794,0.0107145981834271,0.0140905341727373,0.178450862904259,0.716691159424542,0.668656238996331,-0.0162064411511748,0.0341459027154992,-0.024904760200601,0.00586012975560556,-0.028534326745528,0.0396651883069399,-0.00786949178509299,0.00226862970366182,-0.0077241707952398,0.207891255688821,0.167152911045955,0.734736978131945,0.65750048495838,-0.0222220219986846,0.0363872748476495,-0.0261547599440276,0.00686171635582501,-0.0226024799707042,0.0408173292315892,-0.0115975605311456,-0.00572989375138871,-0.0196871845173218,0.19640289326684,-0.00277072609715568,0.0281463331264149,-0.0161514847592213,0.0388297376408409,0.00293366871388761,0.0432701968808315,0.227544269860874,0.738279101784782,0.656037838092376,-0.0236731876613042,0.0334850016123156,-0.0260124633701188,0.00647558469967824,-0.0210283210292196,0.0423972806859094,-0.0127698063093,-0.00464227172421001,-0.0207855079993768,0.195763684340223,-0.00290982153616961,0.0264222714810297,-0.0160650507888618,0.0389891166263061,0.00411230864386714,0.0357092774016582,0.0221692314177461,-0.0146770984902479,-0.0144272475428927,0.190408686829458,0.738698321488228,0.0224679485996398,0.0157619783787812,0.0147640674131692,0.0200982377075244,0.0168181736759,0.0741685429476671,0.0808745131685257,0.0818724241341377,0.0765382538397824,0.0798183178714069
"ES.05_8",54.36132,53.74438,10.8130241116201,11.3249309551041,-0.120774867696173,-0.144371530030361,-0.836538237364981,-0.381521832296569,500,500,11.0719364064366,0.0557210570358176,1.00421042163568,1.13666102939876,0.965688797392347,1.06504065040649,0.706839441670883,0.887056697545917,0.82644104573558,2.24968870934789,2.44034804779205,0.915855635603838,1.00504251828371,1.0017038549161,1.11975725082458,1.05429518518611,0.954952561665675,1.08392269700969,0.933766794508976,0.920715112825441,1.00549085382867,0.893768602876798,1.0299400763691,0.826643895208108,0.220748155849979,0.683796783945903,0.794978115240742,0.0198396417222917,0.0163815861811974,-0.0180993265243808,0.0159176819399294,-0.0407821896164358,0.0343858790017305,-0.00342620430753224,-0.0224823866001642,0.0852159014742819,0.0868109948365253,0.694889274156744,0.650972724092294,0.00384788987652849,0.00470750819742419,-0.0152022161041985,0.00960834413308674,-0.0134701265376603,0.0326814208741332,-0.00124400852672668,-0.0322512531220129,0.0691497891186846,0.218342646391619,0.155404984206186,0.715131679814941,0.631072463848948,-0.00118324205575433,0.0101434920009581,-0.00877660206151677,0.00862420577889091,0.000402722140778189,0.0299290530640383,-0.0026819690775411,-0.0353303306931217,0.0549031899006298,0.204072642313335,-0.00484045958337719,-0.00356376567088761,-0.0320272183255565,0.0301994471890603,-0.020208028172884,0.0566174782193753,0.232332030686314,0.719652526552799,0.62945999432389,-0.00180047821099211,0.00590273042950172,-0.00472075800586821,0.00944094796202486,4.22991093797785e-05,0.0349584898306342,-0.00268241247514008,-0.0390029074728993,0.0507749471984994,0.194785315844981,-0.0109983233962749,-0.00413712913462571,-0.0314271895824154,0.0266768122523234,-0.0203117447076339,0.0258015583847715,0.0557654776153738,0.00606702553768871,-0.0277909262695372,0.215579148170169,0.722156287967659,0.0199376285905732,0.0078406334402407,0.0140359354047447,0.0209838660698276,0.0194707718917933,0.0357834284452444,0.0478804235955769,0.0416851216310729,0.03473719096599,0.0362502851440243
"ES.05_9",54.23236,53.98554,11.145714150212,11.0040276789327,-0.0325088728807714,-0.254333661893845,-0.735090503393179,-0.701848327859768,500,500,11.0750974956646,0.0222860340594399,1.00041938574123,1.23164647183157,1.03337783711615,0.92018517040479,1.19379844950825,0.920810896421246,0.929620677227774,1.5841322336042,0.595809938557918,1.00468084041278,0.996729875810158,1.00089165631441,1.2159692993682,0.960590050991808,1.0046214320741,0.929692388112222,1.09404414440137,1.01325269401021,1.02210767469903,0.99774883047717,1.00587835421256,0.819040340103316,0.206877120598094,0.670948220989238,0.783675303815664,0.0172782006275069,0.0217000692263405,-0.0401422366715278,0.0228581245769497,-0.0528608203892573,0.0237640153358094,0.0165846229397413,0.00685730771814418,0.0229180033080863,0.19632093217256,0.679690904836201,0.635564737677221,-0.00145897322702949,0.0128597964739139,-0.0440479253051419,0.0181844073908345,-0.030507589042786,0.021806819106261,0.0134134597103252,0.00617362081389808,0.00208151908293977,0.223677527695503,0.210922603364777,0.702383579601797,0.619620310480697,-0.00256302455091266,0.0134234077444307,-0.0402843733966834,0.0182239493503913,-0.0255445502190945,0.022778933901329,0.0114616615455662,0.00407916634844861,-0.00695192337476237,0.219048405445551,-0.0103362692003913,0.0108265941862132,-0.0163651350304827,0.0350572169692469,-0.0142253277409821,0.0296259855122218,0.244715778220481,0.70465540391646,0.618994635248409,-0.00267404557810827,0.0164376215491466,-0.0389359676369338,0.0190721095578258,-0.0230294168924108,0.0233201869464444,0.0112284834770902,0.00319557429666977,-0.00963960935410763,0.212934708039894,-0.0107441606707423,0.0113542723876142,-0.0148188239953623,0.032566455328393,-0.0145064680751341,0.0149970671089392,0.0161496722430969,0.0233217219220111,-0.00594719313445437,0.244482153085498,0.70545598072691,0.0186794852757799,0.0177263389554277,0.0190447626711496,0.0220960382801393,0.0220749436455256,0.00360654878365999,0.00455969510401221,0.00324127138829027,0.000189995779300602,0.000211090413914317
"ES.05_10",54.54416,53.69036,11.0333290258737,11.2178366000924,-0.133820650926091,-0.270003496568152,-0.792285761842384,-0.397898761616689,500,500,11.1259652924939,0.0767394089010869,0.998792375182097,0.799127640052127,0.885583524033001,1.10631737863814,1.13281724346421,1.19784741986546,0.960192534557744,1.86309010768618,0.284493414271504,1.11135161670993,1.00797980061792,1.00409716908885,1.0746791243873,0.987070729223565,1.05189105190299,0.76372982598677,0.918829844697098,1.03536223171915,1.02699783598874,0.99696104342479,0.944754439492674,0.813790594566498,0.967239247310615,0.663702140603892,0.778521365352234,-0.00719115871738493,0.0337717340623454,0.0105476315203026,0.0416033160765593,-0.0677772345703669,0.0222410651158043,-0.0121185040685534,0.00619978865784968,0.0261166280464989,0.849368088987427,0.672257396215487,0.598079686960447,-0.024669080638121,0.0204777826898316,0.00914442078937618,0.0375184031124777,-0.0342432941740125,0.0283974033258226,-0.000934727240274459,-0.0244758962117207,0.0184350416387843,0.272912659915722,0.739070045742417,0.703513259351012,0.583831968664351,-0.0257427228509603,0.0248912558017849,0.0183650243175308,0.040221877710185,-0.0200314069819976,0.0262059459939509,-0.00294494493109533,-0.0280881097207824,0.00240006530474256,0.257164354184244,-0.0196837052943503,0.0104168101581238,-0.0395611206518635,0.0135863571362814,-0.00890935781306179,0.0618996046282203,0.75096965698222,0.708513960336311,0.57908185149432,-0.0281256626591209,0.0262793954926442,0.0222403483423918,0.0395395713125051,-0.0158399308989849,0.0274352594720836,-0.000721188984530896,-0.030480619516204,-0.000747326586753063,0.252041865264581,-0.0226402195000677,0.0088636360502766,-0.0358240184450906,0.0142560624584399,-0.0124250516526001,0.0375444020751872,0.0497811491098874,0.000923976120423133,0.00867512249747835,0.750815602524191,0.709843489128683,0.0869353104995894,0.0763410694405498,0.066427498766424,0.0674970339417522,0.067483187551441,-0.0101959015985025,0.000398339460537037,0.0103119101346628,0.00924237495933471,0.00925622134964592
