"","Gr.1.Mean","Gr.0.Mean","Gr.1.SD","Gr.0.SD","Gr.1.Skew","Gr.0.Skew","Gr.1.Kurtosis","Gr.0.Kurtosis","Gr.1.N","Gr.0.N","Pooled.SD","SMD.ES","A_ISCIIMP","CG_GENDER_R","CR_RACE_B","CR_RACE_W","CR_RACE_H","CR_RACE_O","CA_IAge","CSES_MOTHEMP","CSES_FATHEMP","CSES_MOTHED","CSES_FATHED","BM_IMTHIMP","CHL_JM272O_R","DAL_Persist","DSE_SelfEsteem","DLC_Control","DFS_FeelSchool","DEXP_SEDEX11","EEXP_JK76","EPAL_PCOPH11","EPEL_KMHSCPH11","A_ISCIIMP_1","U.TX_1","Y.R2_1","A_ISCIIMP_2","CG_GENDER_R_2","CR_RACE_W_2","CR_RACE_H_2","CR_RACE_O_2","CA_IAge_2","CSES_MOTHEMP_2","CSES_FATHEMP_2","CSES_MOTHED_2","CSES_FATHED_2","U.TX_2","Y.R2_2","A_ISCIIMP_3","CG_GENDER_R_3","CR_RACE_W_3","CR_RACE_H_3","CR_RACE_O_3","CA_IAge_3","CSES_MOTHEMP_3","CSES_FATHEMP_3","CSES_MOTHED_3","CSES_FATHED_3","BM_IMTHIMP_3","U.TX_3","Y.R2_3","A_ISCIIMP_4","CG_GENDER_R_4","CR_RACE_W_4","CR_RACE_H_4","CR_RACE_O_4","CA_IAge_4","CSES_MOTHEMP_4","CSES_FATHEMP_4","CSES_MOTHED_4","CSES_FATHED_4","BM_IMTHIMP_4","CHL_JM272O_R_4","DAL_Persist_4","DSE_SelfEsteem_4","DLC_Control_4","DFS_FeelSchool_4","DEXP_SEDEX11_4","U.TX_4","Y.R2_4","A_ISCIIMP_5","CG_GENDER_R_5","CR_RACE_W_5","CR_RACE_H_5","CR_RACE_O_5","CA_IAge_5","CSES_MOTHEMP_5","CSES_FATHEMP_5","CSES_MOTHED_5","CSES_FATHED_5","BM_IMTHIMP_5","CHL_JM272O_R_5","DAL_Persist_5","DSE_SelfEsteem_5","DLC_Control_5","DFS_FeelSchool_5","DEXP_SEDEX11_5","EEXP_JK76_5","EPAL_PCOPH11_5","EPEL_KMHSCPH11_5","U.TX_5","Y.R2_5","Adj.ES_1","Adj.ES_2","Adj.ES_3","Adj.ES_4","Adj.ES_5","ES.Diff_1","ES.Diff_2","ES.Diff_3","ES.Diff_4","ES.Diff_5"
"ES.05_1",65.76292,65.37326,11.4978406909606,11.5236061269352,-0.278551416090818,-0.304792577941176,-0.11460169179716,-0.0633621295344797,500,500,11.5107306180678,0.0338518911552302,1.00371833885764,1.13675213675169,1.16382699865172,1.16205435052122,0.780701755241919,0.622552488794528,1.09698883089567,0.662618120262299,1.00000000000029,0.925271318420789,0.939886487735477,0.999430027159896,1.00008843757304,1.14803434430471,0.993911783160007,1.00960909675239,0.900962235534057,0.953260167347736,1.02768143290485,0.952377173420462,0.931704455733807,0.934834866396888,-0.0555333672447401,0.873828599361408,0.930616622630652,-0.00463726498300051,-0.0179228794666774,-0.0114294692904311,-0.0199085935499355,-0.0181167981974669,-0.0264192362658026,0.00671218049585933,0.0106456902698593,-0.003588171156579,-0.0760275924252402,0.875301383673939,0.846296649519911,-0.00507541903757245,-0.0180638153406854,-0.00869908331730138,-0.0207631522225768,-0.00162205466939338,-0.019040092181385,0.00575492525288671,0.00908779804064444,-0.00748781836259876,0.111035443386309,-0.0322019468699793,0.879138058692529,0.838232360166672,-0.0105529112213543,-0.0186545412652775,-0.00250893380978998,-0.0205370087787215,2.97387793952214e-05,-0.0194799441368496,0.00587637658144735,0.00558134051509291,-0.0112940416050057,0.102716644877801,-0.0232500291738483,0.010139162247961,-0.012199390659783,0.0262908972685743,0.0087835708206536,0.014673327166461,-0.0223873250795994,0.880687538396999,0.837008646453386,-0.0114731361208802,-0.0179320495391084,0.000128791316099363,-0.0206074011403795,-0.00156185066932182,-0.0195376104774856,0.00559801666533318,0.00592681112277717,-0.0120419291867808,0.0961266673520963,-0.0264849462738557,0.00931916799326723,-0.0118109658346236,0.0265424099472388,0.00763388074497136,-0.0023080889670889,0.044046673430582,-0.0272971170070724,0.00523668683164415,-0.063046243762656,0.881426946289364,-0.00482448674088266,-0.00660493194983676,-0.00279755889860141,-0.0019449091306558,-0.00547717133295567,0.0386763778961128,0.0404568231050669,0.0366494500538316,0.035796800285886,0.0393290624881858
"ES.05_2",65.72742,65.58252,11.2628274651003,11.1122270147822,-0.159625077297064,-0.379124161440803,-0.157581029195913,-0.051798426699849,500,500,11.1877806498133,0.0129516304024437,1.00609237833868,1.08330417687141,1.52660748201475,0.885607083212354,1.06959910913126,1.060125060125,0.990377890707484,0.397590361446639,0.248497198821767,0.92986692034925,0.904486963027267,0.999274659303895,2.53061224489307,0.95532298926773,0.768551440365733,1.08075007120821,1.21160787046905,0.983691440417262,0.994960272828123,1.01736431184183,0.900065430907291,0.935035386666114,-0.540969437585474,0.873391766674114,0.921469302963876,-0.00904895711638719,0.0259148085102367,-0.00672043387087043,0.00134204521438817,-0.0282465282695284,0.00229311559121038,0.0114665447330425,-0.0128281082630935,0.00814800915367285,-0.499209276102155,0.875286529276922,0.864496991707996,-0.0128993449262376,0.0258710956390332,-0.00432810462524297,-0.00171374073542469,-0.0168411371694358,0.00179889222762379,0.016630155963102,-0.0126263355065897,0.00283616400797607,0.0784232740211479,-0.449906742691715,0.877559964460781,0.857703799341667,-0.0133503473908503,0.0218713189594802,-0.00883960681895,-0.00300456747171286,-0.0138281205613898,0.00190435349054213,0.0161099855664456,-0.0142931265298091,-0.000223870529656442,0.0771081011267163,0.0108087769097129,-0.00700358521398651,0.0256425854147138,0.0262854445224416,-0.0111500248181211,0.00633923379044611,-0.424941424772507,0.878655272564991,0.855556756559028,-0.0142874180243839,0.0176623278657201,-0.00936881201049354,-0.00314680385688462,-0.0163612025553511,0.00135830774273388,0.0178125216434021,-0.0140618168405826,0.00299507473947867,0.0790631831417272,0.00819751574422148,-0.0055378676581363,0.0276964196174347,0.029018140011297,-0.0113026199286884,0.0164610220202321,0.00693813629637257,-0.0350057917700511,0.010607061098467,-0.390984112584197,0.879476132268364,-0.0483535970643563,-0.0446209388374527,-0.0402141190262989,-0.0379826382080166,-0.0349474238745217,0.0613052274668,0.0575725692398963,0.0531657494287425,0.0509342686104603,0.0478990542769654
"ES.05_3",65.3283,65.577,11.5171414510897,11.0192312397113,-0.356372619829859,-0.397413549029343,0.104331999990259,0.141789794968713,500,500,11.2709361704926,-0.0220656027359198,0.99837582328373,0.945535464193457,1.1740139210616,0.853096721131045,0.977827050997788,1.11776482364134,1.30688793851708,0.774622494569392,0.164996723681018,1.00686211947596,1.07553666365498,0.995801573386219,1.40567948952521,0.960570376670053,1.19846422093014,0.829953062551757,1.00166519866242,0.988011907874476,0.957635331329768,0.930000123893925,0.977239711532762,0.935151220703547,-0.0611494407376121,0.874560403071762,0.911434968896981,-0.0120526521764946,0.0150669189718696,-0.00950657946696835,-0.00310373769042757,-0.0258549446193337,0.00314466557649997,0.0215405445275909,0.0181298683774528,0.0159415638746441,-0.0130583535637709,0.877430141049098,0.851798374948367,-0.0132515659846675,0.0152273945829977,-0.00764587039170815,-0.00303732280030224,-0.0150022497675855,0.00220259451648988,0.0235179664887796,0.0165665163032651,0.00884717362966818,0.0829961152799604,0.0199243341237364,0.879933463685336,0.848621416759053,-0.011631214585668,0.0195728015804516,-0.0029763902070939,-0.00040111769321585,-0.0137040366595266,0.00258763571539088,0.023876929809744,0.0164923006903375,0.00528504567836774,0.0736295024628805,-0.00888261403035415,-0.00966780834954323,-0.0155296098601928,0.0079979623461533,-0.0073979761952045,0.0103096835190929,0.0510842099959566,0.880530672136391,0.847537292542773,-0.0114570167477931,0.0175401521365459,-0.00408847995893099,-0.000349460021963961,-0.0140507368108866,0.00230161019420633,0.0246568175221752,0.0162706482943904,0.00750317281363682,0.0758757713329364,-0.00963848054298761,-0.00899197560822011,-0.0154293937582321,0.00875023624982205,-0.00697756870869953,0.0185973907112856,-0.00741809051726611,-0.00921888143747291,-0.00111822983091984,0.0392818427221455,0.880646606633202,-0.0054254091951742,-0.00115858641786632,0.00176776212928066,0.00453238393184191,0.00348523335843083,-0.0166401935407456,-0.0209070163180535,-0.0238333648652005,-0.0265979866677617,-0.0255508360943507
"ES.05_4",65.60652,64.88924,11.5535853551492,11.7751542809034,-0.427944464252136,-0.454476489355291,-0.147748297264019,0.260000332391028,500,500,11.6648959039032,0.061490475860997,1.00480842234982,1.39003044100449,0.706815680074714,1.15673981190136,0.940995987727225,0.591581779742462,0.893408892897916,0.999999999999886,1.27561193282526e-06,1.01288913960923,1.03293426181794,1.00700794136309,0.876836559465061,1.15745196261403,1.03972913949315,1.02835215535476,1.10805796098903,1.04225011245325,1.03357930582756,1.07027993213117,1.07399446829837,0.928077350098556,0.131037541005329,0.861641727725117,0.90595521608841,-0.0280563966156395,0.00414735603802415,-0.0230223928075302,-0.00585545531321877,-0.04562009817663,-0.00810701529860255,-0.00696886158703792,-0.00379245236381352,0.009798071645306,0.145903133642001,0.864665635556086,0.854875997307746,-0.0292280270393984,0.00356887132292846,-0.0218297090380977,-0.00757103132299783,-0.0366855797983934,-0.00481784160346571,-0.00556115181933679,-0.00531101324209913,0.00410834373390857,0.0695068031239408,0.116667090836567,0.866255576593997,0.859369571261379,-0.0331914873876485,0.00113990896238926,-0.0199416415648054,-0.0105278890644282,-0.0374696868081761,-0.00466049238086062,-0.00387952339442762,-0.00948192747522704,0.00456544716829138,0.0693511086816923,-0.0145086095138766,0.00825455887907212,0.0254493714519724,-0.00552161343265212,0.0139268367630596,0.0162227601341131,0.0854620782987281,0.867284425610844,0.85786165283279,-0.035890304190224,0.00250862677493979,-0.0179393528980484,-0.011683244526299,-0.0406518558482832,-0.00365847347459796,-0.00409492887755257,-0.0111768154941235,0.00183901377123381,0.0625996023195956,-0.0159447787372017,0.00721143974488414,0.0288788570870004,-0.00468941318135494,0.0108241392561167,-0.00669507867288311,0.0450269813972982,-0.0133016698653945,0.00889950147795804,0.0894210122931502,0.868020787616527,0.0112334942450264,0.012507881325643,0.0100015543899992,0.00732643300058353,0.00766582171241056,0.0502569816159705,0.0489825945353539,0.0514889214709977,0.0541640428604134,0.0538246541485864
"ES.05_5",65.2856,65.47774,12.1205268607749,11.494849273132,-0.408913453571443,-0.372399754925965,-0.0199148091776862,-0.147548980121118,500,500,11.8118315936774,-0.0162667405538396,0.998398853987364,0.872659176030501,0.756944446085745,1.1818181817899,1.00000000000001,0.622423596304185,1.19413372330632,1.25252525115215,0.748490950183402,1.01733144343997,0.958901355239371,0.997119711495707,1.33875337946827,0.978415247127409,1.09016494649286,1.11194822298866,1.29127736637738,1.00376794465817,0.992383062909888,1.05621643739559,1.07892807780752,0.932836903825414,0.00927086306601704,0.87017813874759,0.906401000969433,-0.0143448875242536,0.0165769194723987,0.00753510913849628,0.0274645422528728,-0.0474462891867061,0.000486263938193828,-0.00119977223723429,-0.000563859564896046,0.0253516572040816,0.073744109718464,0.873516631721904,0.828499143983163,-0.0143474047790248,0.016562116791558,0.0105573551592324,0.0259150849951959,-0.0314645519570335,0.00147411530906558,0.00235607391193747,-0.00170236452632759,0.0160684596618611,0.105638078283491,0.0834458110776791,0.876911460131909,0.824961575084068,-0.0160854075024223,0.019804481700121,0.00994378992107077,0.0281052100119722,-0.0241239250188455,0.00318437239430251,0.000956800187903863,-0.00827964258635279,0.00977003777659392,0.0921023548744157,-6.78916949005152e-05,-0.00745889191048828,-0.000377915263127262,-0.00687781145836947,-0.00808199120319854,0.0448920081512362,0.0805349037338298,0.87823336720654,0.819526642249733,-0.0204526458074831,0.0173285909922319,0.0125744652538424,0.0279051655589984,-0.0264425685807677,0.00492372028938118,-0.00130343502761161,-0.00582237283564456,0.00959480199250579,0.0875989981769424,-0.00446368974882888,-0.00775191730704265,0.000607558434798496,-0.00459773524735632,-0.00785722816294793,0.0300637706846156,0.0501597052625319,-0.0419447788507053,-0.00118467657149747,0.111508929060416,0.879456416041769,0.000784879380686357,0.00624324086688958,0.00706459539453186,0.00681815543128286,0.00944044352275599,-0.0170516199345259,-0.0225099814207291,-0.0233313359483714,-0.0230848959851224,-0.0257071840765955
"ES.05_6",65.88748,65.46388,11.7169285257595,11.3143593367013,-0.234988902242336,-0.371570325525089,-0.134423417685947,-0.104654912873284,500,500,11.5174029467965,0.0367791247694267,1.00463994443555,1.01613293538759,0.82244948703677,1.12865497075746,1,0.846059113374324,1.3526438152701,1.20242914946497,3.01206205705551,1.00774277688606,0.965016266253226,1.00305011425304,1.50607279132455,0.88493659060925,0.957073416743864,0.846192633386734,1.05212520716527,0.987817973449165,1.02001958047979,1.01855803374814,1.05790137123261,0.934083590621773,-0.132314418522546,0.872267489625785,0.911122083035795,-0.018955095495563,0.00433158588085792,-0.00093348157943371,-0.0013513626851157,-0.0447916693048407,-0.0214804329714158,0.00174913666208342,0.0227172832513093,0.00104870396549495,-0.0575748938832124,0.875238915652971,0.835962189682888,-0.0205850083512941,0.0032519085063634,0.000934952803395431,-0.0045422071951454,-0.0290515094994641,-0.0202804110465542,0.00218403134057115,0.0234550069360176,-0.00500474735056499,0.100645117856432,-0.0832021392518126,0.878501870872684,0.828962718476193,-0.0248241287505235,0.00572359543657272,0.00134101473316696,-0.00303996079416437,-0.0263484197920273,-0.0201642888307184,0.00294545524838125,0.0197701914223632,-0.00801264981603806,0.0978861169104666,-0.00167512830727615,-0.00147383885204783,0.0134751510545016,0.0168347959577399,0.00863345662727914,0.0134812599025491,-0.0600798797466661,0.879024933046565,0.823919310337829,-0.0281097848308986,0.00666485322819451,0.00243911525239619,-0.00398031020412757,-0.0282346970881346,-0.0196363988803075,0.00176028156869647,0.0195442148860165,-0.0118645847066581,0.0938554341465044,-0.00352962086286705,-0.00293096797073858,0.0174386823905232,0.0189624693452305,0.00492230086868206,-0.0086212231346568,0.0406815373677675,-0.0137187483357818,0.0247397636476649,-0.0813417822807484,0.880041124965523,-0.0114882164958332,-0.0049989476055647,-0.00722403649817206,-0.0052164433270416,-0.00706251076362426,0.04826734126526,0.0417780723749914,0.0440031612675988,0.0419955680964683,0.043841635533051
"ES.05_7",66.22246,64.72554,11.0768215703152,11.1971717508859,-0.287865619475482,-0.405704647454787,-0.0228546171788842,0.375635628519748,500,500,11.1371592275463,0.134407703923057,1.01001631976706,0.930355650478232,0.814814815040208,1.0487151382292,0.838112858564203,0.827119230290552,0.819179816762232,0.56797256110748,1.00000000000015,1.12946985162431,1.1213543619543,1.01198221248317,0.198396793734235,0.912412079905712,1.11923901357958,0.889991796795133,0.910905004793258,1.04472741835684,1.00371427051559,0.977815779065121,0.95561743103194,0.928309535730294,0.385185682447529,0.863778756847058,0.91316962876684,-0.00497886784307653,0.00138617909049401,0.00719511168076758,0.000147951643444987,-0.0352579267593614,-0.00756555001612234,0.00276047038439409,0.0115495263083301,0.0181440209949992,0.327440974922323,0.865810129279487,0.840365598899631,-0.0064631297233858,0.000126392875735296,0.00781083057144866,-0.00106332044285974,-0.0172804822784396,-0.00439125464414933,0.00542897096177878,0.00693186382496743,0.00963893392376605,0.105404146418646,0.278368061074438,0.870007205318377,0.836600228995418,-0.00894266215866739,-0.00036889138738852,0.0140544864610182,-0.00243984547584799,-0.0118898265447074,-0.00349426713825976,0.00451489360889029,-0.000544458371305856,0.00449728934894822,0.0961200048859745,-0.0280224652443361,-0.00289117689660054,0.00450130060435196,0.00636164373162048,-0.0110656389260465,0.0341779266828353,0.262125797654237,0.871519109222612,0.835101951323678,-0.0100823715271743,-0.00505871514334894,0.0144650288651002,-0.00274990120112775,-0.0138831422446212,-0.00315906307467124,0.00472012933156815,0.000781038298733572,0.00494413514086206,0.0945348093304996,-0.0311744894384945,-0.00073952845438161,0.00526239991052519,0.00781165441171094,-0.0120463510986058,0.0334411006597038,0.020598658645068,-0.0311384728622504,0.0133155620743528,0.259081951472248,0.872194437722723,0.0345856312707484,0.0294007626390437,0.0249945300580719,0.023536145286125,0.0232628398480147,0.0998220726523091,0.105006941284014,0.109413173864986,0.110871558636932,0.111144864075043
"ES.05_8",65.57512,65.09578,11.6197699414655,11.054345530234,-0.226935185985102,-0.324365297586165,-0.0063848975947618,-0.198473958410025,500,500,11.3405821851082,0.0422676712867029,1.00440096881614,1.04918032786885,0.945887445887488,1.24062816597736,0.73338802678728,0.887056697545917,1.057353532665,1.1451800231918,1.50301802565171,1.06865798390246,1.11863008589798,1.00036490640637,0.425122161541156,1.09270159207008,0.937713577003937,1.08692403709583,1.01896836832457,1.00700251587543,1.00063076722784,1.03023187723442,1.06212041166947,0.924267367058157,-0.0259440587502822,0.854220431874901,0.899512789670641,-0.0255041865916012,0.0112306192882763,-0.000918666108615318,-0.00696195365576911,-0.0459071209517985,-0.0228869999595191,0.0065377750681719,0.0151713177146162,0.00911362945048128,-0.0313539257924108,0.857509829466999,0.819750536115921,-0.0303894573322609,0.0122612433713033,-0.00141874825346461,-0.00762782571661753,-0.0283956787376167,-0.0181126327946467,0.00514264232763767,0.0108248544354588,0.00403298922879467,0.108068087228651,0.0122135373412984,0.861416059640617,0.816788672055695,-0.0294932534590968,0.0108603727990328,-0.00106472753598291,-0.00813243468500615,-0.0277675187455921,-0.0185524464516425,0.0047516929126231,0.0105799088437641,0.00203736880224025,0.106300158232619,-0.00887943960021109,-0.00386767975889289,0.00372197733008484,0.00743364141235282,-0.0105209211058439,0.00471904538259272,0.0107075542686456,0.861624478328352,0.815746880564486,-0.0301389957867661,0.00795895579769398,-0.000886469121868659,-0.0079407147604553,-0.0290820204603728,-0.0186809715539545,0.0052731673680487,0.0116985654962125,0.00330142382041492,0.106669940259599,-0.0102748814125116,-0.00287776743454449,0.0041085093671191,0.00842232196235326,-0.0105374807048006,0.00739946620739305,0.00906609039746653,-0.0205816811723639,0.00259975588902239,0.0146175657619517,0.86186095157966,-0.00228771841928454,-0.00276475451441839,0.0010769762206156,0.000944180298142553,0.00128896078908071,0.0445553897059874,0.0450324258011212,0.0411906950660873,0.0413234909885603,0.0409787104976222
"ES.05_9",66.1686,65.03188,11.6075633400549,11.4557140342131,-0.372198332619046,-0.325553545612292,0.17911512130618,-0.0751323405021336,500,500,11.5318886295146,0.0985718850154945,1.00534574615488,0.798639377524579,0.943566591422164,0.922832701296563,0.817444959855052,1.77500407896879,1.18406439076527,0.498998545723969,2.0040138564917,1.21128060019847,1.02371384094489,1.00434410337734,0.577417347776554,0.820756214034195,0.868132568548641,1.06177842718625,1.00591991097981,0.959093355935981,0.975594568829246,0.954282593307077,0.991587033242024,0.930014557700966,0.508738331403453,0.866614091081186,0.912780653658713,-0.0155376118607445,0.00427590816580619,0.00344932113576802,0.000521787472325841,-0.0299325928177124,0.00240857053848158,0.00290396374065933,0.0244046398506179,0.00621792443087732,0.474557121931283,0.868482149550412,0.83221465275114,-0.0156501589640824,0.00222074804030356,0.00746150062049046,0.00238865364002461,-0.0107154794003429,-0.000201097700364752,0.0141633617978439,0.0173589768173812,0.00298256482710254,0.109626617538144,0.453531164795106,0.872270149469609,0.826856026798789,-0.0233558189511404,0.00293025263292607,0.0105487462139572,0.00164673868690978,-0.00740419615835149,-0.00128783831229809,0.0153542569210233,0.0125867214479757,-0.00273985675219566,0.100318870191779,-0.0163776586272493,0.0128435603083962,0.00468895721584994,0.0211335705177773,0.00850222438250351,0.0214312103388919,0.478181556920063,0.873217803467875,0.825343241116126,-0.0251963965604879,0.00243946363052077,0.0123080429965843,0.00162259848197998,-0.00826056080674248,-0.000828686374227437,0.0150928522133622,0.0117165043962126,-0.00329024966832136,0.0972125249629289,-0.0186161310374611,0.0125510747045415,0.00475131650099795,0.0206499607543448,0.00743247184804711,0.00854461649773916,0.0323362923923777,-0.016774947000417,0.000267530113268733,0.477074355052876,0.873607333498432,0.0441157860388449,0.0411517260682442,0.0393284378097742,0.0414660228070719,0.0413700106183699,0.0544560989766496,0.0574201589472503,0.0592434472057203,0.0571058622084226,0.0572018743971246
"ES.05_10",65.48508,65.36842,11.3779794967497,11.3049509302194,-0.315560569082177,-0.35949948273127,0.0213486176326683,-0.174835512816029,500,500,11.3415239929016,0.0102860955964128,1.00051241645295,1.25225225222599,0.703297118774643,1.16205435052122,0.854542432092132,0.884252560921897,0.889731146604347,2.22699386502937,0.331998471830038,0.937934208749411,0.972308507391948,0.999030035418136,1.51229499845425,1.15894727942731,1.07964500095026,1.06461613372542,0.811463609790551,0.998952144604443,1.01943854367655,1.04827658346965,0.999725645397132,0.931911328623621,0.0566696840097725,0.868478219286664,0.902583416333484,-0.0172605745043733,0.0152281338413066,-0.000356600483396693,0.0173972563908879,-0.0512590234831234,0.000204831353349726,0.00447056987130212,0.0218983359889979,0.00700479978844103,0.0719094564986986,0.872103327610167,0.812917540692431,-0.0171372428118728,0.0152246484293543,0.00839453579090584,0.0135419159713919,-0.0314130534860673,0.0060017636191719,0.00406858179161414,0.0207029077658114,-0.00225140169667416,0.124016345404705,0.0970645745905968,0.877035372404874,0.809269146819102,-0.0209235710998035,0.0180267113138396,0.0109850893132095,0.0138806320264268,-0.0270286916612144,0.00670360945038248,0.00403469669907095,0.0184928322085928,-0.00667974296497326,0.118872135550671,-0.00228692343438203,0.00300695983032052,-0.00307921671856204,0.00630849973390945,0.00693918816202056,0.0194310237805218,0.105542166301962,0.877437932554183,0.807829756500317,-0.0235723104272189,0.0187314678871061,0.0137073449585384,0.0149499747906804,-0.0292191215219687,0.00713429825638941,0.00404395866453522,0.017306459570065,-0.00896333439517475,0.112713529153938,-0.00599308131932341,0.00230292851217265,0.001327536525547,0.00779028975682564,0.00472801641977346,-0.00218222119954292,0.0451941899618007,-0.0192179431911408,0.0146173234956061,0.0989861188687319,0.8782460634496,0.0049966551272334,0.00634036982540485,0.00855833613289952,0.00930581872136568,0.00872776171268384,0.00528944046917944,0.003945725771008,0.00172775946351332,0.000980276875047158,0.001558333883729
