"","Gr.1.Mean","Gr.0.Mean","Gr.1.SD","Gr.0.SD","Gr.1.Skew","Gr.0.Skew","Gr.1.Kurtosis","Gr.0.Kurtosis","Gr.1.N","Gr.0.N","Pooled.SD","SMD.ES","A_CMTHIMP","CG_GENDER_R","CR_RACE_B","CR_RACE_W","CR_RACE_H","CR_RACE_O","CA_CAge","CSES_MOTHEMP","CSES_FATHEMP","CSES_MOTHED","CSES_FATHED","BS_CSCIIMP","CHL_DL272_R","DAL_Persist","DSE_SelfEsteem","DLC_Control","DFS_FeelSchool","DEXP_SEDEX8","EEXP_DL97","EPAL_PCOPH8","EPEL_KMHSCPH8","A_CMTHIMP_1","U.TX_1","Y.R2_1","A_CMTHIMP_2","CG_GENDER_R_2","CR_RACE_W_2","CR_RACE_H_2","CR_RACE_O_2","CA_CAge_2","CSES_MOTHEMP_2","CSES_FATHEMP_2","CSES_MOTHED_2","CSES_FATHED_2","U.TX_2","Y.R2_2","A_CMTHIMP_3","CG_GENDER_R_3","CR_RACE_W_3","CR_RACE_H_3","CR_RACE_O_3","CA_CAge_3","CSES_MOTHEMP_3","CSES_FATHEMP_3","CSES_MOTHED_3","CSES_FATHED_3","BS_CSCIIMP_3","U.TX_3","Y.R2_3","A_CMTHIMP_4","CG_GENDER_R_4","CR_RACE_W_4","CR_RACE_H_4","CR_RACE_O_4","CA_CAge_4","CSES_MOTHEMP_4","CSES_FATHEMP_4","CSES_MOTHED_4","CSES_FATHED_4","BS_CSCIIMP_4","CHL_DL272_R_4","DAL_Persist_4","DSE_SelfEsteem_4","DLC_Control_4","DFS_FeelSchool_4","DEXP_SEDEX8_4","U.TX_4","Y.R2_4","A_CMTHIMP_5","CG_GENDER_R_5","CR_RACE_W_5","CR_RACE_H_5","CR_RACE_O_5","CA_CAge_5","CSES_MOTHEMP_5","CSES_FATHEMP_5","CSES_MOTHED_5","CSES_FATHED_5","BS_CSCIIMP_5","CHL_DL272_R_5","DAL_Persist_5","DSE_SelfEsteem_5","DLC_Control_5","DFS_FeelSchool_5","DEXP_SEDEX8_5","EEXP_DL97_5","EPAL_PCOPH8_5","EPEL_KMHSCPH8_5","U.TX_5","Y.R2_5","Adj.ES_1","Adj.ES_2","Adj.ES_3","Adj.ES_4","Adj.ES_5","ES.Diff_1","ES.Diff_2","ES.Diff_3","ES.Diff_4","ES.Diff_5"
"ES.05_1",58.45632,58.06278,12.0198223412758,12.6539550191572,-0.0572754488236445,-0.0223973236990492,-0.664509040686401,-0.577964545284197,500,500,12.3409624167381,0.0318889229794786,0.997854555132378,1.16462188951113,1.19956458624163,0.772163896470254,1.5485892744667,1.29773719489591,1.127656943587,0.714728358626078,0.660659652328885,0.950029512135931,1.00367648890737,0.998226966304917,0.909231188165794,0.938239304822022,1.32968157710676,0.895017321391126,1.02332956232017,0.966016603989318,0.994465529615082,0.924693597454821,1.05818626344317,0.885032521729499,0.647367611856359,0.783431290442873,0.838848070775105,-0.0259609619327681,0.0699071575631537,0.0265401876218934,0.0250683239556572,-0.0799531694908226,0.0189009800327517,-0.0160628310094777,0.0174137106013447,0.0412884857548083,0.766217543457692,0.796615101979885,0.718578999563409,-0.0147644893887652,0.0478091491522405,0.0266798101286958,0.0250306908570745,-0.0777880100403215,0.0168434219841826,-0.0152978139909358,0.0113026059232135,0.0348843118931647,0.171177721891803,0.723825431698911,0.808923385143427,0.71682538095771,-0.0221290758413734,0.0518433296591638,0.0312643238929637,0.0266888469570059,-0.0752566822675284,0.017138798010099,-0.0197375620077257,0.00998087470276305,0.0258324887063691,0.164656536677637,-0.0119171318401543,0.0375049352991035,-0.0161574525817399,0.00664962930944761,0.0200003398204964,0.0243935000863707,0.786163311797297,0.810629202968662,0.712036725355447,-0.0283130566133769,0.0512468744942251,0.0333267513627724,0.0268225279056342,-0.0706437061284406,0.0213785194539094,-0.0236440487561477,0.00450641067756765,0.0234547056144863,0.156044767562721,-0.00642372163633338,0.0356113470360705,-0.0125866655449899,0.0029970048958542,0.0146069707510416,-0.00290448314161759,0.0849181599307795,-0.0357144436121036,0.0215025912996671,0.7079046214341,0.813939278666592,0.0524568173855169,0.0620873411313907,0.0586522677289076,0.0637035658362446,0.057362189230393,-0.0205678944060383,-0.0301984181519122,-0.0267633447494291,-0.031814642856766,-0.0254732662509144
"ES.05_2",58.53588,58.14016,12.3633789274051,11.8388580485699,-0.0724023188447971,-0.070523781818615,-0.709232330014531,-0.416187466195508,500,500,12.1039600626571,0.0326934323933261,1.00534821163036,1.20221557938568,0.96806846121915,0.92166079122611,1.24203485253125,1.43385393589885,0.91842987316077,0.957102160619739,2.02760088423358,0.994270046991448,0.980366176193333,1.00716256825663,1.18382352926308,0.89853503959946,1.10077569180868,1.18482807278947,0.948022960954085,1.08357432508585,1.01921476266772,1.13772378797157,1.07150750422592,0.883828389989329,-0.224894103918852,0.780761914500406,0.844884394017149,-0.0202482631089589,0.0404695023410932,0.0257756260875083,0.0098856158261289,-0.0678599561893015,0.00216660904718661,0.00807490795031607,0.0236922971527468,0.0272933735861599,-0.223739946704092,0.78967998768841,0.698145096259323,-0.0057860581056007,0.0258288811018017,0.0304405715660808,0.00167264999269316,-0.0605108954323029,0.00133362561149605,0.00507387789995136,0.0160132167232726,0.0208250668236388,0.203476915428192,-0.322949099855836,0.805972070176969,0.6872164856589,-0.0145813937631244,0.0355667232779733,0.0361378111905139,0.00238147707640311,-0.0517434943049682,-0.0017844310958424,0.00206660044234023,0.0155149678598102,0.00182647915950668,0.192758849498177,-0.001406680103732,0.0284089078166094,-0.0129208249021204,0.0169987369581708,0.0242644112521862,0.0548702692319192,-0.344372775161366,0.809961777275096,0.685076840655142,-0.0175115286700804,0.0383018623090544,0.0382877036364639,0.00605864795263544,-0.0443891674075872,0.000229903093125792,0.000490054976443391,0.0137268807498705,-0.00190043259538072,0.181202990427145,0.00190292912487237,0.0267083759932893,-0.00920380606726284,0.0136825793401433,0.0224560774040398,0.0210486858509494,0.0848365261785572,-0.0217823983037997,0.00795700174630913,-0.289929583467365,0.813095389318943,-0.0185802086882864,-0.0184848550016594,-0.0266812760604022,-0.0284512484656835,-0.0239532832202455,0.0512736410816125,0.0511782873949855,0.0593747084537283,0.0611446808590096,0.0566467156135716
"ES.05_3",58.58632,57.69268,12.6531730737895,12.0975140632537,-0.107722302086067,-0.0455979178938835,-0.499959940600323,-0.504148147858283,500,500,12.3784618460028,0.072193137654544,0.998704448948953,0.93050193050194,1,0.930632630410703,0.959961563100573,1.31397173933023,1.15593133745012,0.844568924421885,0.567175003618109,0.977747465930587,0.977891925887988,1.00906776959324,1.94268476621399,0.858173034932867,0.896093272539807,1.14892237105012,1.21438953196756,1.04499571256867,1.0350463187154,0.999605453234182,1.00908614647671,0.884457967518456,1.04630557355702,0.78353171419041,0.846278030013511,0.00811833318585979,0.0553572362224963,0.0244800084366923,0.0273901281072661,-0.0545508941104942,-0.000643958739630572,0.0121849994352259,-0.00143798605788257,0.0454223572931261,1.11978520728966,0.792026426649779,0.707140905799822,0.0182279339157037,0.0399847167891516,0.0162640088612422,0.0243266232649406,-0.0511810190088926,-0.00858989581900173,0.00929931771645889,-0.00756806787615796,0.0408847737044629,0.191422228670952,0.856446907474804,0.806943894805264,0.696855109519741,0.0144209781240278,0.0470295843151003,0.019890516370418,0.0258425949061445,-0.0457095485679468,-0.0125467482025995,0.00725830853740357,-0.0101904337543326,0.0299683055764183,0.188368139585798,0.00447089410738915,0.00287623766784638,-0.00758194076556487,-0.00438284029811851,0.00601418343884225,0.0460638350699594,0.798473376274354,0.808735985976281,0.690827394542923,0.00768625352953377,0.048807277686024,0.0227448061929311,0.0280699622207993,-0.0423698546383777,-0.00821384618653995,0.00347063971307369,-0.0150053573894854,0.0261423511628656,0.184255819865513,0.00873745427884678,0.00328470200391667,-0.0054170157732928,-0.00957933564310151,0.00275013548934626,0.0128208611595769,0.0748584984292748,-0.0149522594002064,0.0189294482778201,0.769913824718939,0.811323181486954,0.0845262995171641,0.0904623871059762,0.0691884757678004,0.0645050561376652,0.0621978590148952,-0.0123331618626201,-0.0182692494514322,0.00300466188674357,0.00768808151687883,0.0099952786396488
"ES.05_4",59.26638,57.8408,12.3094093038789,12.1115471062376,0.0854327172085642,-0.0408094188561003,-0.453086092570324,-0.55609437920385,500,500,12.2108789756724,0.116746714371682,1.00770146935471,0.968434343434343,0.933366650008444,1.14247720364181,0.980826750517682,0.94039103481172,0.988019648728639,1.61636132563057,0.782956240104937,0.948895817557064,0.950695897327186,1.00926244099394,0.740663904877207,0.894218122112525,0.877913411175058,1.01523299656579,0.858478916333441,0.927684055603018,1.00416751158293,0.925647297391513,0.963109517501104,0.883211280026073,0.536385304845472,0.782141004542385,0.84765600974938,-0.0276515514453932,0.0479871388544199,0.0205014523234657,0.013728748380546,-0.0556725667068711,0.01139991958687,-0.00981961282196695,0.018474941713642,0.0315339620061023,0.557869301376351,0.789518126707671,0.707778936416145,-0.00748654484045373,0.0254425136677828,0.0123716175172896,0.00999087391640684,-0.0542989790081163,0.000531476699532682,-0.0126066403689066,0.00391148836863678,0.0333054923549202,0.194103730479778,0.47387748450787,0.804392042545341,0.706980237629706,-0.0138147505465706,0.0275441399088345,0.014263962342347,0.00898784334765665,-0.0525815659880588,-0.000536187273031688,-0.0152010942844922,0.00337101414605012,0.0284359657056357,0.193903044778333,-0.00480680394206041,0.018367380363061,0.0113736042681935,0.000666151365110385,0.017697787933272,0.0193532722259556,0.536623709698944,0.805083851351342,0.708076150335654,-0.020525369343413,0.0248602447116138,0.0137732687954181,0.0100896849481414,-0.0461536451152569,0.00109743035164761,-0.0169362969004193,0.00011171865718053,0.029832514863554,0.184867061728884,-0.00139831681881933,0.017524671265642,0.014156246798902,-0.00309529614111428,0.0187509604265711,-0.0174677913499457,0.0991307685591489,-0.0453332197965469,0.00440488941569446,0.458748652875604,0.80889975628153,0.0439268381837301,0.0456862526021092,0.0388078110881267,0.0439463621552598,0.0375688477291082,0.0728198761879518,0.0710604617695728,0.0779389032835553,0.0728003522164222,0.0791778666425738
"ES.05_5",58.6811,57.6527,12.6315287129172,12.0043896158905,-0.00172485228577234,-0.0621752404655731,-0.479618656490571,-0.57403754802279,500,500,12.3219496768034,0.0834608180502478,1.01301519340303,1.19284712482025,1.03223207091055,0.920185170404789,0.947312961011605,1.42609232410109,1.10983784365343,1.1612646110551,1.28132098199864,1.03290798582211,1.09812606807898,1.00964504061816,1.12229423993109,0.951073546551622,0.937450927859205,1.0680544356376,1.12285436843147,1.02467021446844,1.00350246865063,1.03709684572259,1.00212833552692,0.88576439156871,-0.500594513632406,0.782470039563918,0.852110031694727,-0.006784797089215,0.0637194938692883,0.0176273092910486,0.0144441074504178,-0.0422232833667859,0.00511537315607472,-0.000952137160052461,0.0227569333988344,0.0115709535020585,-0.41548508620838,0.788807244143075,0.71724630040594,0.00871910260214875,0.0459891373950256,0.0142699869486499,0.0104680110609092,-0.0404042750658022,0.00179202720817908,-0.00418583987208061,0.0100330714343324,0.00595441409535393,0.190534910191596,-0.438726235127808,0.803408010703889,0.708742781344314,0.00449417378432763,0.0519088085386602,0.0192604732977922,0.0110927934636635,-0.0370266671024856,0.00247861013759928,-0.00701128782409019,0.00609891616405955,-0.00402404776161578,0.182958503405051,-0.00792413599696963,0.00435241527428493,-0.0165139312206492,0.00569920181895293,-0.00218091546658683,0.0389401824719574,-0.412414093047831,0.805013043119047,0.705859140902709,-0.000139995115650852,0.0513165477791479,0.0189490188663502,0.0120655643225597,-0.0364764022723659,0.00300307355424537,-0.00909368848823061,9.68631352185807e-05,-0.00575695120531311,0.174682864706079,-0.00228752804050282,0.00447291481915728,-0.0114685151947544,0.00502436189091896,-0.00318416868522764,0.0143982665851046,0.0622675546490035,-0.0105611334771781,0.0132939551832905,-0.376178314861277,0.807058547854352,-0.0406262423368598,-0.0337191026668895,-0.0356052610694985,-0.0334698731828306,-0.0305291228034674,0.124087060387108,0.117179920717137,0.119066079119746,0.116930691233078,0.113989940853715
"ES.05_6",58.88962,57.58138,12.4953394780993,12.2876824901018,0.00257599623373845,0.00388149940030028,-0.625464686613498,-0.403161933672369,500,500,12.3919459660398,0.105571796680298,1.00920682238896,0.922839506172851,0.840487239034292,1.11457116014634,1.0404007756949,0.973488865323434,1.01230823633176,0.949096365972169,1.48976840435121,0.99424877177357,0.988969424096363,1.00914070741433,2.14035087719223,1.01830184979078,1.20417525092324,1.15539430798869,1.13692586425195,1.0245350602574,0.979205627964473,0.917830075935521,1.07293701758647,0.893763990034699,0.1852756185573,0.799546825834168,0.864863325977108,-0.0104238477081477,0.0619712929301877,0.0343684285012672,0.0128751341241957,-0.0560562859043415,0.0126102354512636,-0.0116619019115222,0.0176772387867065,-0.00717714047447629,0.189302215229503,0.806407831173649,0.747992352321592,-0.00184117810694182,0.0451224882219691,0.0320332958730712,0.00738429985770194,-0.0516992699822902,0.0132001064001454,-0.00777251242956707,0.0109675527887048,-0.00888247049773087,0.15854781915087,0.150552500492266,0.816097573275647,0.736448060531826,-0.00744331987861248,0.0548378170157606,0.0320849527992084,0.00844389335344119,-0.0458772056748115,0.0096239273981288,-0.00712340403522064,0.00292497808851163,-0.0193691633991193,0.15469662629931,0.0114550226512696,0.00499561537123012,-0.0165617526761095,-0.00105869686264296,0.0125672704367723,0.0488617315001845,0.127408588083026,0.818706166991098,0.736170093775082,-0.012758136298947,0.049932197617191,0.0321439706809944,0.00878060201525361,-0.0456498594319867,0.0138176000398056,-0.0104390566225353,-0.000374899395824699,-0.0184987262179976,0.147399105072281,0.0145825501214368,0.00583969296780369,-0.0155774152054662,-0.00286531051470184,0.0093327713898079,0.034311502502565,0.0597043553078939,-0.0395804660292523,0.011474387902688,0.111919286552577,0.820301229440216,0.0149512932888062,0.0152762298793334,0.0121492218336697,0.0102815642056696,0.00903161511995712,0.0906205033914921,0.0902955668009648,0.0934225748466286,0.0952902324746287,0.0965401815603411
"ES.05_7",58.15392,57.89998,12.4553152826888,12.1309213295697,-0.0342457514252331,-0.115672450625093,-0.564244418562136,-0.485603569947827,500,500,12.2941882834002,0.0206552880227866,1.00531261783985,0.900793650793742,0.922480620155339,1.02100796201761,1.03600230414746,1.35956132817869,0.954922976559078,0.983961947340119,1.04750517153106,1.02749711746325,0.990704006766121,1.00284736007928,1.58851209204298,0.9141347283163,0.857302122794626,1.09723555895838,0.999288443429667,0.98539997295495,1.02130612863298,0.987289687610436,1.01831119628274,0.886852668378092,-0.375222605419432,0.785958540170934,0.840789492277815,-0.00670268429835875,0.087129097453171,0.0467310874395529,0.00409795245260544,-0.0719081050528024,0.0120180873033142,-0.0136691076842978,0.0209360468553189,0.0417437947593516,-0.390454905548665,0.801049466965917,0.721918466495497,0.00586557131245272,0.0697320251151241,0.0459798357166527,0.00516232134135322,-0.0628951300523709,0.00978865125002516,-0.0158036386927617,0.0147382082556144,0.0387276170375247,0.167283711777482,-0.355597417578817,0.812386363765003,0.719130233578424,0.00390208372698905,0.0731329550761801,0.0484613534260027,0.00541093483125231,-0.0584871044239866,0.00874895909104969,-0.0155734231577225,0.0142202424289901,0.0305915655298066,0.165838937689092,0.00309014965460138,0.0209914795660173,-0.00877399428025124,-0.00657701750066312,0.00160889660566828,0.0309043468791771,-0.341091123918152,0.813359687903347,0.714905722931147,0.00247934176280525,0.0715226636416006,0.0479522117771723,0.00640948845388255,-0.0547198372152189,0.00875436515350235,-0.0175502459646439,0.0094661340001388,0.0298672701773827,0.161364945480041,0.00366343349757769,0.0193726317628306,-0.00419185546775175,-0.00775527438932074,-0.00207517443668569,0.00975153581730711,0.0461409430841844,-0.00387623336857003,0.0159396681201631,-0.359169881227417,0.814543731746587,-0.0305203236496762,-0.0317593074506482,-0.0289240256763392,-0.0277440946938073,-0.0292146071743811,0.0511756116724628,0.0524145954734348,0.0495793136991258,0.0483993827165939,0.0498698951971677
"ES.05_8",58.75044,57.59636,12.4576619511439,12.161498692649,-0.0782756774800875,-0.0227361504577756,-0.725678398502053,-0.536371984157773,500,500,12.3104709849031,0.0937478347835198,1.01000275085829,1.02438548575888,0.907192575407142,1.20206342409164,1.01984599507818,0.970131421744322,0.836096494292401,0.7923842693048,1.07394314533885,1.12590961490919,1.12867061579972,1.00673367255284,0.449985332942456,0.857738961816654,0.788800668616978,1.0327518433063,1.02317594292135,1.09695912838721,1.03699917362758,1.10728185571283,0.957987513532246,0.884581676971227,-0.0381693566234167,0.782337033584241,0.845700344301849,-0.012141024075652,0.0553612620936146,0.00269680552285919,0.0333547863643879,-0.0513490502907142,-0.00717533657221426,-0.0260079693685281,0.00655806785983615,0.0531712383301108,-0.199437509385806,0.790735402901736,0.715289075895561,0.00167408731359611,0.0346455419151425,0.00363183559825663,0.0306603146883945,-0.0515598929631314,-0.012560612554799,-0.0221090043037762,-0.00468126227366696,0.0485159602367015,0.179606357949751,-0.143962769849807,0.803366729573352,0.708622288000037,-0.00513979852264498,0.0388317783359514,0.00749764018538074,0.0341094193236451,-0.046795549883596,-0.0130907619093581,-0.0267630675934047,-0.00842998538232893,0.0342736231352014,0.167936646568175,-0.00787627116976952,0.0289067533961902,-0.0230468297781934,0.0114211962375014,0.00898982565208244,0.0474889204587501,-0.185142425689983,0.80616667281842,0.703843410611899,-0.00659645095416361,0.0377837420915323,0.00599542065878145,0.03494972947386,-0.0407400004202239,-0.0106477724411291,-0.0269400670881904,-0.0160229885721597,0.0325162095226315,0.163745732769572,-0.00882580007808288,0.0297356403080956,-0.01643427264751,0.00958197261094386,0.00389829225506634,0.0148309212346401,0.0620885856774497,-0.00609937318828689,0.0308119465812895,-0.101875411797782,0.808734071425173,-0.0031005602198507,-0.0162006400592135,-0.0116943348492804,-0.0150394266731981,-0.00827550886742811,0.0968483950033705,0.109948474842733,0.1054421696328,0.108787261456718,0.102023343650948
"ES.05_9",58.564,57.88084,11.929249985243,12.3420727600525,0.0810540361898644,-0.121427627033634,-0.616330262657473,-0.590839981591907,500,500,12.1374166366828,0.0562854535235529,1.00660659370493,0.99197818065137,1.06551362683431,0.90431720759383,1.17655367225821,1.53752596397432,1.13461945872774,1.40292213193988,1.18104184681486,1.02526684755347,1.00535352397791,0.999944392888321,1.2511553134276,0.883748783829149,0.817212893847552,1.02107750971139,0.931933902314619,0.974468969196835,0.961211864621024,0.955563113294086,0.964749019694689,0.87734009461556,-0.061789074888455,0.769575712670019,0.839553135733346,-0.0257779588359098,0.0430791849729463,0.00714316935016551,0.0407935227721834,-0.0684560647778469,0.00621459516919985,-0.00160477345261429,0.0109602603742399,0.0248003026343274,-0.0179025621017371,0.778115425710434,0.715192545996646,-0.0127382818672212,0.0279485792534599,0.00652791658618331,0.0358607595544944,-0.0596750721774243,0.000212257956050793,-0.00592225868011989,0.00337839412485384,0.0257885848141513,0.176562206344788,0.0870103075086544,0.7913433870926,0.710892740709328,-0.0154900348148052,0.0286051930451245,0.00756412881711382,0.0354315273288248,-0.0566078823563433,-0.000318107152979258,-0.00742033509623891,0.00248781648902302,0.0216118559093377,0.173483394368692,-0.00205336402528223,0.0126437749073973,-0.0023564457886901,0.00913909702792237,0.00278934697630319,0.01699223558745,0.107127570424022,0.791725159278005,0.707916506878374,-0.0184995354326941,0.0292540748871959,0.0079259354753344,0.0354306135635657,-0.0534644563488128,0.000172315106772189,-0.00892231431085987,-0.00261333712576166,0.0204695932391602,0.169327613117354,-0.0023767437342606,0.0141375314065651,0.00187445735715068,0.0067425048465475,0.00137063236394622,-0.00581749806667512,0.0494374725854042,-0.00718565584402351,0.0161214443417299,0.145630326596859,0.793024753248359,-0.0050907929370827,-0.00147498950045353,0.00716876664229222,0.00882622502223833,0.0119984615306623,0.0613762464606356,0.0577604430240064,0.0491166868812606,0.0474592285013145,0.0442869919928906
"ES.05_10",58.59978,57.35172,12.3152636020011,12.0059386541634,-0.177220867292419,0.0108529767334013,-0.716837142357233,-0.684457898812304,500,500,12.1615846120953,0.102623139977889,1.00714687022656,0.968481601134663,0.81693363861027,0.989473240978571,1.46511625440993,0.908424908426751,0.825498771593998,0.743267557205876,1.74095273716503,1.08174676796115,1.00895504160155,1.0082026279193,1.33240996642967,1.09428840523263,1.03116825757519,1.08284162468692,0.948921674654214,0.988290642541585,1.01634411276139,0.992834165259362,0.936559912306288,0.898695619965801,0.407040524687239,0.809090224372104,0.853957709480033,0.005385929269932,0.0476692457768591,0.0266267626693286,0.0252171688927328,-0.059018655440369,0.0255621779487021,0.00191542709736761,0.0169336101870592,0.0494248602056345,0.329233367944912,0.819554923630473,0.752801367369623,0.0155663106463358,0.0345047155888479,0.0222142117371806,0.0222545264455899,-0.0532947747898034,0.0199554948848241,0.00128830916508748,0.0110364250280742,0.0445418979852074,0.143081078537934,0.292835005529565,0.828081277677857,0.751569375822905,0.00941575525679642,0.0395686475378409,0.0256781197336846,0.0215679726286,-0.053568603417257,0.0171688365436809,-1.84874638120943e-05,0.00983807689087816,0.0399944382107204,0.145418810979934,-0.00845284401358131,0.00667646921382581,0.00827809460996674,-0.0153571241260634,0.0257235128156444,0.016705531286466,0.309756274773995,0.829002943267627,0.751414874234727,0.00482882479307189,0.0394777444968304,0.02489510696561,0.0226718638818011,-0.0512652086150479,0.0177795484247527,-0.00116123774670176,0.00773290028662867,0.0388046194523918,0.138889379735681,-0.00379765231064252,0.00845473399497788,0.0124390598053415,-0.016882625620302,0.0220354018508886,-0.0015917668136582,0.0531355794490099,-0.0225832786563352,0.0192811599936843,0.315355500867968,0.830298733346556,0.0334693658491193,0.0270715847026605,0.0240786883346045,0.0254700587673358,0.0259304614428559,0.0691537741287697,0.0755515552752285,0.0785444516432846,0.0771530812105532,0.0766926785350331
