"","Gr.1.Mean","Gr.0.Mean","Gr.1.SD","Gr.0.SD","Gr.1.Skew","Gr.0.Skew","Gr.1.Kurtosis","Gr.0.Kurtosis","Gr.1.N","Gr.0.N","Pooled.SD","SMD.ES","A_EMTHIMP","CG_GENDER_R","CR_RACE_B","CR_RACE_W","CR_RACE_H","CR_RACE_O","CA_EAge","CSES_MOTHEMP","CSES_FATHEMP","CSES_MOTHED","CSES_FATHED","BM_ESCIIMP","CHL_FL271C_R","DAL_Persist","DSE_SelfEsteem","DLC_Control","DFS_FeelSchool","DEXP_SEDEX9","EEXP_FL76","EPAL_PCOPH9","EPEL_KMHSCPH9","A_EMTHIMP_1","U.TX_1","Y.R2_1","A_EMTHIMP_2","CG_GENDER_R_2","CR_RACE_W_2","CR_RACE_H_2","CR_RACE_O_2","CA_EAge_2","CSES_MOTHEMP_2","CSES_FATHEMP_2","CSES_MOTHED_2","CSES_FATHED_2","U.TX_2","Y.R2_2","A_EMTHIMP_3","CG_GENDER_R_3","CR_RACE_W_3","CR_RACE_H_3","CR_RACE_O_3","CA_EAge_3","CSES_MOTHEMP_3","CSES_FATHEMP_3","CSES_MOTHED_3","CSES_FATHED_3","BM_ESCIIMP_3","U.TX_3","Y.R2_3","A_EMTHIMP_4","CG_GENDER_R_4","CR_RACE_W_4","CR_RACE_H_4","CR_RACE_O_4","CA_EAge_4","CSES_MOTHEMP_4","CSES_FATHEMP_4","CSES_MOTHED_4","CSES_FATHED_4","BM_ESCIIMP_4","CHL_FL271C_R_4","DAL_Persist_4","DSE_SelfEsteem_4","DLC_Control_4","DFS_FeelSchool_4","DEXP_SEDEX9_4","U.TX_4","Y.R2_4","A_EMTHIMP_5","CG_GENDER_R_5","CR_RACE_W_5","CR_RACE_H_5","CR_RACE_O_5","CA_EAge_5","CSES_MOTHEMP_5","CSES_FATHEMP_5","CSES_MOTHED_5","CSES_FATHED_5","BM_ESCIIMP_5","CHL_FL271C_R_5","DAL_Persist_5","DSE_SelfEsteem_5","DLC_Control_5","DFS_FeelSchool_5","DEXP_SEDEX9_5","EEXP_FL76_5","EPAL_PCOPH9_5","EPEL_KMHSCPH9_5","U.TX_5","Y.R2_5","Adj.ES_1","Adj.ES_2","Adj.ES_3","Adj.ES_4","Adj.ES_5","ES.Diff_1","ES.Diff_2","ES.Diff_3","ES.Diff_4","ES.Diff_5"
"ES.05_1",62.98616,62.66754,12.9878046564455,13.457832048115,-0.119582955187842,-0.302422811318032,-0.632901347795042,-0.529767441654263,500,500,13.2249066769724,0.0240924195370538,1.00092783748177,0.886867589827351,0.95521853355625,0.970738558776486,1.41666665342432,0.970876048462264,0.877538938896522,1.86887796257389,1.83576517074002,1.01652707475783,1.03273216071902,0.998949607707145,1.46123346023389,1.14693379593081,1.04879817360788,0.864338384610973,0.848374688765954,0.993540553863151,0.998983670009588,0.997190117812922,0.935474153713171,0.918997612506395,0.180714167811829,0.844674757691514,0.904431729017397,-0.000618560872266625,0.0232698888594145,-0.00119429936178888,-0.00908479482685101,-0.0141411329465338,-0.0014105822737138,-0.00882895842802144,-0.000116714059324222,0.0264421064615016,0.168237439248704,0.846363275736456,0.832364946678015,0.00566110746126389,0.0148452890796996,-0.00190607827031721,-0.00797060144193867,-0.013006288287629,-0.00190397492394873,-0.0121880782163385,-0.00159566544980521,0.0248980862258031,0.0973531893783469,0.203912928987268,0.849997227750806,0.808304576536622,0.0008289324211917,0.0260683030287483,0.00377476621133324,-0.00319896866519475,-0.00945830071917692,-0.00381600700754248,-0.0142903194090598,-0.00420591085389124,0.0137423938620909,0.0805538099860835,-0.00856577423133198,0.0124473266160541,-0.0263503000514247,0.0349946169976635,-0.00183062257146441,0.0442567417076952,0.257358340061029,0.853349653941706,0.80708094338382,1.54001292784063e-05,0.025434844295046,0.00354111439887519,-0.00205519113435594,-0.00748653002929428,-0.00447335385204859,-0.0139219943809919,-0.00462291778530608,0.0111330814784949,0.0777831928911709,-0.00946440600239313,0.0119822923015594,-0.0254501912046088,0.0345818396273595,-0.00515267832368557,0.0400286509612041,-0.00031899842370985,0.0157574062010662,0.0110869963347693,0.26811348139385,0.853623852208712,0.0136646837838556,0.012721257197349,0.0154188557974724,0.0194601252278891,0.0202733741675998,0.0104277357531982,0.0113711623397048,0.00867356373958135,0.0046322943091647,0.00381904536945401
"ES.05_2",62.92008,62.36014,13.1614754821538,12.9003402644379,-0.271859277686345,-0.260717197888452,-0.446853104786462,-0.610288201230951,500,500,13.0315619901379,0.0429679880603533,1.00267804868087,1.01612903225806,0.708213041012645,1.08051529790649,1.0215109275512,1.44091708076016,0.982524277668591,2.0797237603304,1.3449312948082,0.978154444623756,0.988285792346161,1.00642470863012,1.40879748908667,1.02877454569503,0.931060090512931,0.961840455829243,0.912478121332683,1.01879817992863,1.00797150677333,1.00511427076811,1.01558233475371,0.922977575554705,0.172915924602184,0.852129031068942,0.915283442049065,-0.0102998007653494,-0.0210716964494851,-0.0209210776054184,-0.0206592044667318,-0.0198327904407716,0.014574248584304,0.0030603054888685,0.00852053420619255,0.00354378603962542,0.199099120251871,0.853588865497736,0.848094312056981,-0.00507519712628319,-0.027307092864389,-0.0214077147447741,-0.0192947470228406,-0.0205279144181635,0.01568937330467,0.000978863835836023,0.00474946578797673,0.00593058193933642,0.0878254969238353,0.149590927061769,0.856486344087282,0.838582601223921,-0.00599183542137173,-0.0231496334279294,-0.0192941660209581,-0.0200218516701999,-0.0175688571638671,0.0134621039825092,0.00173373680005774,0.000308367361625923,0.00192283879749132,0.0812725812154516,-0.00883812540110665,-0.00833055384057581,-0.00423308796778734,0.0059953601799522,-0.00895656416010337,0.0332623021096072,0.14860493083547,0.857567398044332,0.833219669244934,-0.00886724347982551,-0.0222778789740409,-0.0196861461117895,-0.0182076487590752,-0.0125620426128644,0.0134701340199795,0.00128190947902267,-0.00118142690563,-0.00181237478013764,0.0756856794933128,-0.00973428839994064,-0.0109450340151799,-0.00153826381816949,0.00611941739274302,-0.0146998223597819,0.0147832753677502,0.0164871479775809,0.0309008965214613,0.00395970092861982,0.148626629162348,0.85843626467222,0.0132690098648992,0.015278223777207,0.0114791248489612,0.0114034626814447,0.011405127741005,0.0296989781954542,0.0276897642831463,0.0314888632113922,0.0315645253789087,0.0315628603193483
"ES.05_3",63.1412,62.53454,12.6267071410742,13.1159472296843,-0.183909584261996,-0.214962833009718,-0.575671330651895,-0.298339031143653,500,500,12.8736514819673,0.0471241590507388,1.00343632098291,1.05767012687427,1.01607820438613,1.05321866485014,0.796747967931639,0.972885032537957,0.901698468331568,0.749630926990642,0.470722570255939,1.01762668862808,0.981612682361512,1.0002757801602,1.18638279294678,1.05254538712312,0.826077169482034,0.949152265778912,1.04621052550731,1.07040431753638,1.03917863765447,1.03722521007015,0.969986664441848,0.917640651931966,0.114229229365316,0.842254025864037,0.883626738270097,-0.0117609856991382,-0.00684407353532625,-0.023078914222427,-0.0108609921351359,-0.0493559040766676,-0.000867074929089474,0.0146668151467237,0.0202076579830616,0.0241278045891006,0.0948650008796756,0.847199752576988,0.828982776104746,-0.00664418642075375,-0.00961462354700682,-0.020343826224231,-0.0109307307477483,-0.0473195799912384,-0.00153075135828637,0.0103738910297115,0.0174466995850351,0.0221074894117767,0.0747896691702662,0.120142806898106,0.849267877011994,0.813891776979887,-0.0127669519766416,0.00135576620771129,-0.0134615406330942,-0.00605252062380233,-0.044468175355702,-0.00535186265155628,0.010671766850947,0.0118919369778279,0.0111638661674602,0.068351628896455,-0.0234901640286165,0.037863460702167,-0.0282437963022363,0.00626906189618324,0.0194025667943562,0.046715588973364,0.0272575215417267,0.852939881576735,0.80664770241773,-0.0151539973249082,0.0037984918260605,-0.0140806595394419,-0.00887785530554576,-0.0423669066996636,-0.00417427058151923,0.0120607510147401,0.00879267960124256,0.00571589871469431,0.0651853615837763,-0.0233879368005271,0.0359434027468185,-0.0260487310315105,0.0104549479106815,0.0179192237243804,0.0104250861550057,0.0643182460984282,-0.00451572610083221,-0.0105337192336058,0.0404244378536624,0.8546420618024,0.0088731025168207,0.00736892722414906,0.00933245762217467,0.0021173108173627,0.0031400910542193,0.0382510565339181,0.0397552318265897,0.0377917014285641,0.0450068482333761,0.0439840679965195
"ES.05_4",63.5837,62.75006,13.1693878088741,13.0269595357432,-0.286345658248405,-0.253931458227768,-0.391716810335104,-0.451023011461618,500,500,13.0983672647856,0.0636445736440157,1.00940693960729,0.915747549019636,1.06958215913429,0.88096891305039,1.15526572617114,1.24366471668631,0.969239979895994,0.525084605765907,0.404331925353192,0.963184664024379,1.01603617551169,1.00730550544412,1.07913896802727,0.961534793978083,0.86147989885324,1.20378717759868,1.01822423896034,1.06048910365232,1.0616180611462,1.02310266214774,0.993772123986273,0.917456516806881,-0.537317756734455,0.83999865316868,0.897941106443442,-0.0303425671650329,0.00390162235288496,-0.0156085536986628,0.0107728275881248,-0.0479292737872132,0.000218107395756439,-0.0123244439848582,0.00640849190374694,0.0199784428254574,-0.546967080917345,0.843450012357575,0.800511698748399,-0.0195962571655207,-0.00307216019402979,-0.0122692104604506,0.00892572809172827,-0.0459194737420109,-0.00248319512913247,-0.0168233973639134,0.00387010142121719,0.0186185320623162,0.131358530101098,-0.542098267329848,0.850260160600766,0.786747085457882,-0.0226563070656194,0.00150136986127708,-0.0090597558354872,0.00979308621004604,-0.0424654856854112,-0.00409035302611057,-0.0177773480895264,0.000168798400860006,0.0128307573039262,0.124330542651887,0.00314874490391833,0.00722319774279584,-0.0120492416683508,0.016982242408093,0.00334260927959019,0.0281648626851669,-0.5863692397103,0.851370835279075,0.782060735006564,-0.0237684085530368,0.00642598857907209,-0.00688538664916985,0.0095043073858717,-0.0408715916348508,-0.00275566149485824,-0.0160546408205035,-0.00176551600905609,0.00658942144273404,0.121530809723717,0.00266140924003637,0.00845164190700066,-0.00996421628574406,0.0184885394242115,-0.000182636880199369,0.00180031637034241,0.0452577833091135,-0.00425476501635169,0.0215965395222493,-0.585891794085941,0.852717680290032,-0.0410217354478227,-0.0417584168973368,-0.0413867054092502,-0.0447665902059969,-0.0447301394320411,0.104666309091838,0.105402990541352,0.105031279053266,0.108411163850013,0.108374713076057
"ES.05_5",62.89084,62.56226,13.284287254879,12.644604459463,-0.196327190509918,-0.254551343877971,-0.391555724111944,-0.434227994231192,500,500,12.9683906057462,0.0253369913036398,1.00356548329679,1.0242954324587,0.899274778406763,1.09941675503669,1.0837942014408,0.977005150846212,0.92265362143067,0.615188446005547,0.720701513436531,0.965521443767207,1.00791915764262,1.00007073096179,3.48447204968306,0.962469087396241,1.34612868511253,0.793051317935183,0.990474130872457,0.957094649201755,0.949178789943307,0.967533320714864,0.933906004624435,0.917337199295358,-0.177269578649626,0.841287248942148,0.910307262524273,-0.0215763490980626,0.00476204577236208,0.000934562374389064,-0.00503340245560836,-0.0268650360737795,0.01018082965695,-0.0163288373962399,0.00596646306439582,-0.00466339399481559,-0.186441402449958,0.842566645857094,0.83685668592613,-0.0127684551647345,-0.0040484907663089,0.00167136852625301,-0.00678570046247995,-0.0271987167805881,0.00857000595819877,-0.0203815950414046,0.00305462327760722,-0.00456502395159977,0.103160308794677,-0.148244446744721,0.847147434661899,0.817166206897848,-0.019039393881954,0.0057305809983289,0.00629511548438762,-0.00468114490765685,-0.024464805172823,0.00688871227820402,-0.0208608815558598,-0.00372445746005162,-0.0129492937043462,0.0942286150483274,0.00589155980947622,0.00956986056920867,-0.0135686549497998,0.0228864737104615,0.0126028423576666,0.0408082605858568,-0.0507193768968594,0.849728195861409,0.816639947768423,-0.0186441648122349,0.00649789632094667,0.00750286879750984,-0.00585691351859884,-0.0234189081227681,0.00750427148673053,-0.0205839248937352,-0.00459747645760909,-0.0159500907293837,0.0920635975262293,0.00486638378601718,0.00945848300939245,-0.0129708336504073,0.0220417837323722,0.00787610571558948,0.0293062934117106,0.0160499392519092,0.00291681427924746,0.0178080634448395,-0.0245082915745813,0.850155612846886,-0.0136693583682681,-0.014376602935398,-0.0114312138839368,-0.00391100009544638,-0.00188984834893251,0.0390063496719079,0.0397135942390377,0.0367682051875765,0.0292479913990861,0.0272268396525723
"ES.05_6",62.99128,62.17482,13.1764297046325,13.0484867390805,-0.21441862697945,-0.282904576442394,-0.385052094153246,-0.459041680200616,500,500,13.1126142691128,0.0622652343189252,1.00473513794912,1.2514051753309,1.09718550769596,1.02122376212408,0.920280612245395,0.630801738446148,1.08854696046643,1.5589883403388,1.11946003719676,0.987467785264687,1.07154816855352,1.00640517072606,0.783525987275854,1.21898499739142,0.883845762830173,0.986208201413407,1.07739420510292,1.05186417308239,1.08062387505421,1.03287494859608,1.09197694857048,0.922923567357994,0.132453759809933,0.852077178816779,0.910444425749558,-0.00953451001885374,-0.00203672996151221,-0.0214450035177445,-0.00377047566170784,-0.0359785678903654,-0.002946232055389,-0.0143721216999666,0.00282835130714763,0.00132968793635268,0.168271864377619,0.853701833016027,0.842716920415367,-0.00545518127829514,-0.00804277078055948,-0.0190658770855864,-0.00487289721203616,-0.0386921828862375,-0.000946900016284153,-0.0183286352581613,0.00343239436277198,-0.0014548091985451,0.0907049227248385,0.134878928686391,0.856981616392442,0.830732565659651,-0.0072323428267202,-0.00258829037836231,-0.0140861497496394,-0.00346260785371614,-0.0370218614440296,-0.00147314835347819,-0.0178564560660357,0.00147888863077514,-0.0113233553144535,0.0820557186011209,-0.0265972073470462,0.000185182141949813,-0.0141949488680319,0.0221845679676995,0.00792709708677064,0.0243659085076745,0.114438840349828,0.859179617479016,0.824851266543838,-0.00900747149945341,-0.0019219832572802,-0.0140655191211434,-0.00303786462493605,-0.0359670274858118,-0.00117554269852795,-0.0179944976509205,0.000439512110307788,-0.0152257741355939,0.0809550132661956,-0.0272469935397951,-0.000245017302020232,-0.0129439664661714,0.0228558715588298,0.00415896455583632,0.00298025505938408,0.0315193432010899,0.00677549023459637,0.00532636855041307,0.0901407357317227,0.85970395882981,0.0101012473250229,0.0128328234876846,0.0102861966285474,0.00872738555418293,0.00687435273254793,0.0521639869939023,0.0494324108312406,0.0519790376903778,0.0535378487647423,0.0553908815863773
"ES.05_7",62.99884,62.79508,12.8956543865954,12.7664183649659,-0.23100546808657,-0.18032049751032,-0.455920023791645,-0.399499281525594,500,500,12.8311990851957,0.0158800435288308,1.00461348779031,1.04081632653061,0.74974975158304,1.27624309356945,0.705882359539424,1.00000000000001,0.971251895269139,0.550490227798242,2.3026501822603,1.02398728880103,1.02281530735597,1.00402310827986,0.82817869438715,0.930196340841608,1.05873471735329,1.14545636447428,0.891762462563862,1.06470907081338,1.02245822737162,1.01372399463512,0.92381955944705,0.922532066200391,-0.460159408486909,0.850457956723199,0.899156638032956,-0.00532210704399271,-0.0154444843494669,-0.00768373804531325,-0.00185107001597568,-0.0443209828141176,-0.00313713042004383,0.0214654688737196,0.00791998965717334,0.0264741255605876,-0.474876572055348,0.853875161019083,0.814892438005047,0.00280839519848868,-0.0154877149294411,0.000131323081125701,-0.00210169650467963,-0.0428801310567777,-0.00520339818595996,0.015693313358303,0.00652261093259776,0.0275798818737589,0.110753475697892,-0.464554150108244,0.858443623035861,0.803023862823321,0.00312864107381062,-0.00743463734832432,0.00349184294736195,0.00178193725089055,-0.0361402210973062,-0.00599970369216621,0.0179346949737212,0.00256535182197295,0.0227124093819074,0.104385597492201,-0.0108947909213844,0.00187725323955619,-0.0305881890108982,-0.00575529727895297,-0.00170040563802962,0.0290235479397307,-0.474653606325232,0.86011839718725,0.801828354635129,0.00202265332151067,-0.00913886047655823,0.00251846833661115,0.00224941782928989,-0.0315937680426166,-0.0065738162765017,0.0168882139721002,0.00281532865858243,0.0202317815904564,0.0979678624781306,-0.0107125574009638,-0.000652149103322392,-0.0282303351949508,-0.00717792020743688,-0.00660790474577062,0.0233148013663714,-0.00303367901328497,0.0322679237652071,-0.000685891231697399,-0.48254589088531,0.86076347385789,-0.0358625414064245,-0.0370095241218139,-0.0362050457656941,-0.0369921472789611,-0.0376072327832601,0.0517425849352554,0.0528895676506447,0.0520850892945249,0.0528721908077919,0.0534872763120909
"ES.05_8",63.16588,62.47716,13.2643713503596,13.4958410254555,-0.206167185914764,-0.242028686227484,-0.500884886689732,-0.636289625786989,500,500,13.380606718393,0.051471507570227,1.00518485058378,1.05772719775688,0.966529437359843,0.918185351087285,1.35993417720385,0.816811473106593,0.912358234125106,0.612654419903669,0.315891627630434,0.984715233555409,1.09327498556488,1.0131052003699,1.46127627003537,0.986103322509151,1.079656532075,1.0178891833765,0.961034354780762,1.06252190169952,1.04737325784587,1.03018072289792,1.06239571620733,0.923621902470475,-0.100915167958561,0.852868823211467,0.902791519941916,-0.00929528964085215,0.00763614835626498,-0.00624684307246479,0.0050156223655264,-0.0283277860061626,0.000198720112933874,-0.0305524725067126,0.0208799416850436,0.032312528597783,-0.161471254152172,0.856380349463866,0.822422820725681,-0.00424514865407196,0.000362279402677315,-0.00462634943718706,0.00358060009160568,-0.0286625668745345,-0.00216810002450666,-0.0329582120801429,0.0179959438188983,0.0309339802893042,0.109394100686219,-0.306434393939154,0.861176277831254,0.801524640517281,-0.0171860147882585,0.0138435223011069,0.00207412530531839,0.00716401079407889,-0.0262818382818151,-0.00195457647223727,-0.0348942796722863,0.0115128244638489,0.0184717121343743,0.0998850973696224,-0.00299608816386951,0.0444266391743529,-0.0261803194809112,0.0315642657804039,0.0327006853925623,0.0431191173095561,-0.269267365041853,0.86584548094828,0.800093628653599,-0.0176821286885247,0.0139322878389893,0.00244969375743084,0.00711925770404887,-0.0247566480594961,-0.00205592816817531,-0.0354079197759507,0.0107480756049883,0.0176586266594831,0.0997811922843665,-0.0035013541426364,0.04492329344979,-0.0250667410960238,0.0303183827494976,0.0304693397245366,0.0431319449183557,-0.0064584195118635,0.0127506241258485,0.0148600287665835,-0.290497098486617,0.866155506964243,-0.00754189776909312,-0.012067558485985,-0.0229013826045667,-0.0201237037085708,-0.0217103084038258,0.0590134053393201,0.063539066056212,0.0743728901747936,0.0715952112787978,0.0731818159740528
"ES.05_9",63.7114,62.14134,12.7895548110374,13.5019951618678,-0.300735050214582,-0.297108424740875,-0.638560702380747,-0.297306545242888,500,500,13.1506004732794,0.119390745935153,1.00968929916865,1.06616819956329,1.03699319325244,1.25868440476583,0.743024965927325,0.795626405671066,0.869261423051069,0.476232268463308,0.541370055873247,0.898985580013514,1.02807850333629,1.00815838190908,1.19410793731827,1.08422550349461,0.876737063680998,1.04342175273167,1.12325060264307,0.982730647456225,1.01692984955452,0.996592848190398,1.05614192345093,0.927612817634443,0.122193166883995,0.86099780205415,0.914678610934801,0.0022257058861361,0.00823474931580476,0.00772199855444055,-0.0111726833530125,-0.0386358511841494,0.00165153791881669,-0.0188478809501591,0.00885772670366792,0.00849931407582801,0.086804873712105,0.862943006852868,0.844704729943974,0.00535660818406785,0.00372082123458299,0.00712501513718691,-0.0107504794574604,-0.0365518131042905,0.00395517800243339,-0.0221241460979311,0.00584978461616946,0.00943801102959537,0.0921746876844444,0.0902427524872137,0.866129793281842,0.827593112571195,0.000106510621642269,0.0110955796564092,0.0120250716195032,-0.0101648210101673,-0.0337601012199469,0.00414954652150266,-0.0263121984186406,0.00447657386328521,-0.00154344279370413,0.0798309978491859,0.00199002903057538,-0.00596935847845643,-0.00353836168879934,0.0298876176246487,0.00404834497674795,0.0340512660849891,0.13050466784763,0.868229747617895,0.823940147402304,-0.00204147315009376,0.0117944424361539,0.0122060772426171,-0.0118727013090314,-0.0323885023018651,0.00475067487738044,-0.0260498988480283,0.00196208156406888,-0.00587967106168341,0.0786126253049843,0.00253431867620544,-0.00488482535777274,-0.00176920434131824,0.0301680306791526,-0.00029757715248286,0.0134929753732787,0.0309176901618995,0.00380913255748733,0.0182081939274732,0.111779879931791,0.868990172517005,0.00929183174048051,0.00660082966465929,0.00686225337546962,0.00992385618533552,0.00849998295963106,0.110098914194672,0.112789916270494,0.112528492559683,0.109466889749817,0.110890762975522
"ES.05_10",62.92956,62.78706,12.9334147323775,13.3962467433987,-0.0891257069005006,-0.334086108615817,-0.668877842294102,-0.448854388097819,500,500,13.1668645365877,0.010822622166729,1.00463702434186,1.14584763212011,1.11681463186387,0.838954149320907,1.0386085479325,1.2614151262275,0.788121622899419,0.689573352103619,0.4999708730357,1.07327257132651,1.01107695035692,1.00288313285575,1.28719122451619,0.84170838295122,0.88346786502239,1.00008842324632,0.987092246249595,1.06327273147018,1.05316833551337,1.0096214166297,0.979027349734607,0.91891552406069,-0.544035097066733,0.843754064213119,0.899324765474931,-0.0365022633009814,0.00212618122660174,-0.00952150015892898,-0.00984875419693942,-0.040797722132645,0.00116838945385544,0.00702777628318123,0.00521746332230018,0.0205444812373755,-0.561426082586884,0.847501579393916,0.822913729232655,-0.0303541924181464,-0.00558809088129766,-0.00886273594838374,-0.0105749817737575,-0.0423697891324839,0.00203013101175998,0.00188288385690983,0.000359943892260255,0.0203126460098575,0.105888671944687,-0.563205891329286,0.852135756669064,0.806853161566018,-0.0323758510785522,-0.00207202603504331,-0.00818874276799651,-0.012257904398949,-0.0354759549050208,-0.00142913486030935,0.00566741647766726,-0.00577587953964911,0.00838342882735445,0.0897068600892561,-0.0103487213248307,-0.00329310112707069,-0.0284909497535384,0.0128543636509007,-0.0176492202738136,0.0538050809232047,-0.603722155918792,0.855614281939032,0.801383425111197,-0.0337336506046568,-0.00170795115469256,-0.00860170330827223,-0.0119903216279308,-0.0327908996674486,-0.00156712208419111,0.00651610980318299,-0.00774834295393858,0.00436144286740886,0.0864669618941755,-0.0109640758257054,-0.0048348785185138,-0.0264979869922058,0.01393063617147,-0.0223510639854725,0.0359122274336557,0.0258024163474367,0.0124683397648177,0.0043214277049712,-0.597489863375774,0.856102479193997,-0.041318500357848,-0.0426393148518245,-0.0427744881679513,-0.0458516265767897,-0.0453782950159082,0.052141122524577,0.0534619370185535,0.0535971103346802,0.0566742487435186,0.0562009171826372
