"","Gr.1.Mean","Gr.0.Mean","Gr.1.SD","Gr.0.SD","Gr.1.Skew","Gr.0.Skew","Gr.1.Kurtosis","Gr.0.Kurtosis","Gr.1.N","Gr.0.N","Pooled.SD","SMD.ES","A_C3RRSCAL","CG_GENDER_R","CR_RACE_B","CR_RACE_W","CR_RACE_H","CR_RACE_O","CA_R1_KAGE","CSES_W1SESL","CSES_W1POVD","CSES_W1MOMEDR","CSES_W1PAREDR","CSES_W1MOMSCR","CSES_W1DADSCR","CHL_W1LANGSTD","BM_C3RMSCAL","BG_C3RGSCAL","EEXPP_P3EXPECT","EPAL_P3DOMATH","EPAL_P3DOWRIT","EPAL_P3RDBKTC","A_C3RRSCAL_1","U.TX_1","Y.R2_1","A_C3RRSCAL_2","CG_GENDER_R_2","CR_RACE_W_2","CR_RACE_H_2","CR_RACE_O_2","CA_R1_KAGE_2","CSES_W1SESL_2","CSES_W1POVD_2","CSES_W1MOMEDR_2","CSES_W1PAREDR_2","CSES_W1MOMSCR_2","CSES_W1DADSCR_2","CHL_W1LANGSTD_2","U.TX_2","Y.R2_2","A_C3RRSCAL_3","CG_GENDER_R_3","CR_RACE_W_3","CR_RACE_H_3","CR_RACE_O_3","CA_R1_KAGE_3","CSES_W1SESL_3","CSES_W1POVD_3","CSES_W1MOMEDR_3","CSES_W1PAREDR_3","CSES_W1MOMSCR_3","CSES_W1DADSCR_3","CHL_W1LANGSTD_3","BM_C3RMSCAL_3","BG_C3RGSCAL_3","U.TX_3","Y.R2_3","A_C3RRSCAL_4","CG_GENDER_R_4","CR_RACE_W_4","CR_RACE_H_4","CR_RACE_O_4","CA_R1_KAGE_4","CSES_W1SESL_4","CSES_W1POVD_4","CSES_W1MOMEDR_4","CSES_W1PAREDR_4","CSES_W1MOMSCR_4","CSES_W1DADSCR_4","CHL_W1LANGSTD_4","BM_C3RMSCAL_4","BG_C3RGSCAL_4","U.TX_4","Y.R2_4","A_C3RRSCAL_5","CG_GENDER_R_5","CR_RACE_W_5","CR_RACE_H_5","CR_RACE_O_5","CA_R1_KAGE_5","CSES_W1SESL_5","CSES_W1POVD_5","CSES_W1MOMEDR_5","CSES_W1PAREDR_5","CSES_W1MOMSCR_5","CSES_W1DADSCR_5","CHL_W1LANGSTD_5","BM_C3RMSCAL_5","BG_C3RGSCAL_5","EEXPP_P3EXPECT_5","EPAL_P3DOMATH_5","EPAL_P3DOWRIT_5","EPAL_P3RDBKTC.1","U.TX_5","Y.R2_5","Adj.ES_1","Adj.ES_2","Adj.ES_3","Adj.ES_4","Adj.ES_5","ES.Diff_1","ES.Diff_2","ES.Diff_3","ES.Diff_4","ES.Diff_5"
"ES.05_1",56.01056,55.759356,14.9227887842923,13.7543690842975,-0.18688997871056,-0.306078308977351,-0.53721206276663,-0.414025965391878,500,500,14.3504754974823,0.0175049251883024,1.00080570408057,0.976284584980237,1.0305412525251,1.08540423827075,0.964286518780416,0.848866993088385,0.999681075575012,1.03105889400895,0.922057570657844,1.00422250574307,1.01107844036285,1.00297667220296,1.00196440557394,1.03029236179386,1.00212451369727,1.00128307391993,1.02395900090082,1.027868342097,0.980746269669166,0.842887402801915,0.823734997247498,0.12927055929842,0.678598015138845,0.776674180026471,0.0033801315050699,0.0763457956094257,0.0224144299554621,-0.00607495335424248,-0.0398177587920464,-0.0366333355615003,0.0959563640907283,0.0109108014731181,0.0624883936064796,0.0097314206998826,-0.00736052430581685,0.00875931379511264,0.11548487822982,0.700944695442141,0.633833209778324,0.020774617709274,0.0326815320536094,0.00535382908636468,-0.0159589399112913,-0.0697889097659133,-0.0578560575840851,0.0859289703255995,-0.0105820332008424,0.0594999793959557,0.015969522525589,-0.00555777871685025,0.000293726960417292,0.213718964986527,0.0363532719271688,0.0885258092012423,0.724055879910082,0.633833209778324,0.020774617709274,0.0326815320536094,0.00535382908636468,-0.0159589399112913,-0.0697889097659133,-0.0578560575840851,0.0859289703255995,-0.0105820332008424,0.0594999793959557,0.015969522525589,-0.00555777871685025,0.000293726960417292,0.213718964986527,0.0363532719271688,0.0885258092012423,0.724055879910082,0.629724965311339,0.0195455347314447,0.0272833159636856,3.23578523666874e-05,-0.0185358655186827,-0.0652758071380993,-0.0547198476589077,0.0846498881731843,-0.0164496178465019,0.0530520187574113,0.0175893529592318,-0.0110208017809273,-0.000780884780563592,0.217649304974827,0.0285768436436124,0.0148491135815603,-0.00967944230947484,-0.0109726939042527,0.0447281369515077,0.179719499051481,0.725799071386056,0.00900810285492626,0.0080474600475839,0.00616884152840605,0.00616884152840605,0.0125235919243939,0.00849682233337614,0.0094574651407185,0.0113360836598963,0.0113360836598963,0.00498133326390853
"ES.05_2",56.582058,55.60222,14.0888505886198,14.4778782275423,-0.118267220165485,-0.224758003399307,-0.546034261715651,-0.549537298474041,500,500,14.2846888114512,0.068593583866841,1.00671580487077,1.10088781275216,0.757069294267603,0.963581923612268,1.12187499520286,1.25341914395231,0.998957475379173,1.06327753100676,1.15441279794887,1.00858131207204,1.03424556866943,1.00028825524702,1.00073506477282,0.920586393032156,1.00491123377259,1.00551768644495,1.02912743745359,0.999533386097463,0.995205567461191,1.10760322414506,0.833037816289933,-0.0488227709824233,0.693831762993345,0.772977739118541,0.0267122183046353,0.0656058345099229,0.00816607019129465,0.0219340992607157,-0.0152864369907746,-0.0525064915498073,0.0482176714884915,0.0353031678324317,0.0865913908289955,0.0132004868485624,0.0258222078708591,0.0065821266700705,-0.128702204894954,0.712560153291637,0.626672540071308,0.0371251177485083,0.0218567741837624,-0.00823821423530527,0.012566975630214,-0.0532455107010042,-0.0803203695708734,0.0390467285813485,0.0265082552222827,0.0747878352859694,0.0184816099777331,0.0279971865848722,-0.0113503387588292,0.209000497100337,0.0650204810679951,-0.0954548169567212,0.739444905805719,0.626672540071308,0.0371251177485083,0.0218567741837624,-0.00823821423530527,0.012566975630214,-0.0532455107010042,-0.0803203695708734,0.0390467285813485,0.0265082552222827,0.0747878352859694,0.0184816099777331,0.0279971865848722,-0.0113503387588292,0.209000497100337,0.0650204810679951,-0.0954548169567212,0.739444905805719,0.624380176717867,0.0341563107914499,0.0199453443050023,-0.010208300913444,0.0107191044033706,-0.0518334230569233,-0.0841425234844995,0.0389854406642088,0.0247440480749247,0.0726276333223596,0.0196044059258228,0.0276152044221171,-0.0129656157899952,0.212067302482757,0.0593707218781539,0.0129179960565937,-0.0235434092843656,0.00654438854227703,0.0140737539503456,-0.103482627444946,0.740016046230639,-0.00341783931220714,-0.00900980109498647,-0.00668231686504791,-0.00668231686504791,-0.00724430394045336,0.0720114231790482,0.0776033849618275,0.0752759007318889,0.0752759007318889,0.0758378878072944
"ES.05_3",55.968874,56.241728,13.8290253725863,13.7048550419718,-0.126392694997806,-0.185049371304253,-0.308435753747363,-0.533597717017909,500,500,13.767080200193,-0.0198193078003698,1.00200906989203,1.01614987080103,0.819556501366751,1.17142673544806,0.947852760333003,0.973578041525015,0.999863447380179,1.02740189892593,1.23913315943553,1.01187967933507,1.0157667707132,0.998088208176825,0.998672709329154,1.34623898482053,0.995602858748531,1.0095595087064,0.94989742684673,0.93676616646916,0.888211476973777,1.0086969932947,0.808309886091275,-0.559735780952425,0.653354495352394,0.773935368472928,-0.00908649926578872,0.0851239422738165,0.0422754527646564,0.0208832408714871,-0.0287577221821239,-0.0550488415487131,0.0275877101628165,0.0554290483436057,0.0204694738799764,-0.00112948543503713,0.0702027401728004,-0.00155087548104121,-0.654685540004737,0.66753053197433,0.608636478800787,0.0120549712123464,0.0341923594376885,0.0168689068961789,0.0110251965396413,-0.0702290905559961,-0.0738023001630129,0.0172567504529795,0.0427905143287572,0.00406383669504463,0.00593668717135334,0.0674564620897291,-0.0151343969159124,0.229490395276034,0.0696538285739867,-0.442514021228281,0.699291909365621,0.608636478800787,0.0120549712123464,0.0341923594376885,0.0168689068961789,0.0110251965396413,-0.0702290905559961,-0.0738023001630129,0.0172567504529795,0.0427905143287572,0.00406383669504463,0.00593668717135334,0.0674564620897291,-0.0151343969159124,0.229490395276034,0.0696538285739867,-0.442514021228281,0.699291909365621,0.605284804009136,0.0067584314418925,0.0292408658084118,0.017050092959952,0.0119487953392682,-0.0684186838962979,-0.0696986853556096,0.0167170817865774,0.0387443818761311,0.000845879018928347,0.00574199375494114,0.0651802455468744,-0.0157846702311405,0.234802001821254,0.0651213005916305,0.0087940473683779,-0.0322272138058805,0.0323709956921326,0.0196440048630145,-0.397760684886358,0.700660297093166,-0.0406575521325558,-0.0475544218879147,-0.0321429101010159,-0.0321429101010159,-0.0288921600733306,0.020838244332186,0.0277351140875449,0.0123236023006461,0.0123236023006461,0.00907285227296085
"ES.05_4",56.477234,56.109914,13.6956980514861,14.0190666328796,-0.170184578220053,-0.335720349028155,-0.471971929281513,-0.0463111234405837,500,500,13.8583255549615,0.0265053666507707,1.00309896216265,1.04082565810961,1.07731729872454,1.0255284436492,1.03048937262202,0.826081813606375,1.00151006434139,1.01871722971906,1.0998250433014,0.991097419058487,0.980739441239697,1.0046754318826,1.00109826285117,0.689073192026039,0.998429348965194,0.994156287384865,0.986173554944496,1.02293894735181,1.04837285349615,0.961763864141533,0.830517408496798,-0.0963042497600848,0.689654807067126,0.781647918138706,0.0106582148408862,0.0492059459448899,0.0545182952294079,0.00199922716865707,0.0176563942258382,-0.0662293026530824,0.0648464944562575,0.0391593879098633,0.0797447043156858,0.037971112365023,0.0257880089190305,0.00948176550280009,-0.0868128585587699,0.707088864138064,0.627876851798118,0.0271307904828406,0.0167597366836171,0.0438769129216884,0.00232413545144577,-0.0165773888358333,-0.104925693944378,0.0491154429708666,0.0355119541477771,0.0608152996894497,0.0405219160961372,0.0427632096835821,0.00120478274040176,0.222938006045402,0.0560102349660664,0.0700637094372933,0.73587476497738,0.627876851798118,0.0271307904828406,0.0167597366836171,0.0438769129216884,0.00232413545144577,-0.0165773888358333,-0.104925693944378,0.0491154429708666,0.0355119541477771,0.0608152996894497,0.0405219160961372,0.0427632096835821,0.00120478274040176,0.222938006045402,0.0560102349660664,0.0700637094372933,0.73587476497738,0.63009883393662,0.0222705620805047,0.0185917057351559,0.0427858100360794,0.000897915486315253,-0.0139432599907986,-0.116580143494194,0.0461199115192023,0.0313745889654432,0.0616950638148688,0.0414735239438194,0.0442572596380737,0.00447960393959598,0.220991074881391,0.0471201915606721,0.0346021845036783,-0.0451420757243261,0.0174809507716458,0.0144737730231258,0.0845745295633005,0.737991432094843,-0.0069491981104172,-0.00626431080829167,0.00505571247835273,0.00505571247835273,0.00610279569691748,0.0334545647611879,0.0327696774590624,0.021449654172418,0.021449654172418,0.0204025709538532
"ES.05_5",56.340998,55.077238,13.8966044703592,13.766983680992,-0.19003046139703,-0.223561403036031,-0.33799071836575,-0.454208970974791,500,500,13.8319459129637,0.0913653081028584,1.00728912231566,1,0.951050397429456,1.10477532627529,0.883411874883886,0.936052197072456,1.00087894076311,1.03689050542091,0.754378267178299,1.0160525561117,1.01377476832384,0.996467989091601,0.999055813205304,0.945577631955937,1.00714132456644,0.999856771741515,1.03257273255765,1.02649141279779,1.09717609105763,1.12081668896706,0.828752612673838,0.214373497694098,0.687478795933852,0.783441072593607,0.0154634920655812,0.0950101455302353,0.0411188191084486,0.0519691328245323,-0.00303284265564011,-0.029821936679586,0.0501716116261382,0.0277447379740867,0.0102828365339676,0.0289525672811326,0.0396633713402833,0.00506249591850764,0.354750142292017,0.700268801215329,0.641727685257704,0.0224755481126373,0.0622822224470618,0.0288170690351346,0.0453246036762029,-0.0409587627228495,-0.0618597016124365,0.0448450462283575,-0.00494593911897053,0.0310832897533508,0.0358836097509698,0.0360959880154549,0.000972417380688212,0.222554864820429,0.0211904702373036,0.359501493897993,0.721783471001898,0.641727685257704,0.0224755481126373,0.0622822224470618,0.0288170690351346,0.0453246036762029,-0.0409587627228495,-0.0618597016124365,0.0448450462283575,-0.00494593911897053,0.0310832897533508,0.0358836097509698,0.0360959880154549,0.000972417380688212,0.222554864820429,0.0211904702373036,0.359501493897993,0.721783471001898,0.634760728292373,0.0197018648933884,0.0615132621444591,0.026123755214534,0.0437693112034123,-0.0391271141241487,-0.058317683839479,0.0407486588841834,-0.01103134508305,0.0175086345912568,0.0340588261590837,0.0305178991098902,0.00276343073972588,0.225147682617488,0.0140042428821343,0.037601113822349,-0.0205748912534693,-0.00573735386539583,0.0367101453631955,0.310007835170941,0.723990211812961,0.0154984337737455,0.0256471608929249,0.0259906665454104,0.0259906665454104,0.0224124528191216,0.0758668743291129,0.0657181472099335,0.065374641557448,0.065374641557448,0.0689528552837368
"ES.05_6",55.261936,55.279908,14.0154045102907,14.131688850632,-0.0960271549234865,-0.348938785098958,-0.450177056732798,-0.293165805447266,500,500,14.0736667815846,-0.00127699484994981,0.998048363413758,1.1008216968291,1.17497907722665,1.07581141560266,0.828479779082507,0.934682862097034,0.958150940546241,1.04105530204788,1.05302892265995,1.02262582908986,1.02693044729123,0.99984931842939,1.00135923369519,1.07446289997381,0.999570024390583,0.989812361538564,0.985546273957074,1.10456973243259,0.999257475114914,0.93111039941501,0.831614523822082,0.262427852015262,0.69148368719902,0.778170012998383,0.0281193526854007,0.0516986923296334,0.0299911202693099,0.0220525179932667,-0.0147295651924314,-0.0239286205681205,0.0661470188476689,0.044401523673615,0.0387757557438618,0.014766287005593,0.018266390789498,0.00872980926800191,0.114447092708201,0.70714144342544,0.632569164558951,0.0402899618468063,0.0192644259149708,0.0141518461567901,0.00943084725767451,-0.040182891172557,-0.0554446044790378,0.0656578869358967,0.0222051055157417,0.0523326025684788,0.0208792090178829,0.0256656555235986,-0.00035384016820277,0.209180787136875,0.0272898186485328,0.0509824204242808,0.728327486378251,0.632569164558951,0.0402899618468063,0.0192644259149708,0.0141518461567901,0.00943084725767451,-0.040182891172557,-0.0554446044790378,0.0656578869358967,0.0222051055157417,0.0523326025684788,0.0208792090178829,0.0256656555235986,-0.00035384016820277,0.209180787136875,0.0272898186485328,0.0509824204242808,0.728327486378251,0.63247940635832,0.0403016439491641,0.0204680244097202,0.011084457114441,0.0104553234196631,-0.0353630523715901,-0.0688759920464034,0.0642956931561086,0.0209695833157997,0.0468310181067784,0.0216374596216658,0.0256781469987418,0.00676606034806691,0.203345437366257,0.018592186109087,0.0441703467106127,-0.0121230718472037,-0.0251460359592654,0.0310392606682522,0.109986241392645,0.730953655699415,0.0186467291067776,0.00813200244714868,0.00362253996882968,0.00362253996882968,0.00781503804939893,-0.0199237239567274,-0.00940899729709849,-0.00489953481877949,-0.00489953481877949,-0.00909203289934873
"ES.05_7",56.087574,55.24723,14.3932342653679,14.9445722249609,-0.0934258910465345,-0.307905915704298,-0.544706393024022,-0.447167741960867,500,500,14.671493305128,0.057277332478915,1.0022532509096,0.755395281294503,0.971303326240474,1.18678079789852,0.775959447139095,0.947071939423488,0.996255732510898,0.997548815490429,1.42181248263158,1.00662045595839,0.995086264056415,1.00052290215748,1.00041878214342,1.1406720270724,1.00445637439587,0.994620406402576,0.992928664418116,0.977174437692392,1.05613087266356,1.05518606524817,0.833358293639272,0.467811201232154,0.695145813761241,0.781513490354118,0.0482641631496127,0.0816720727118571,0.0456773932479506,0.0407364932741544,-0.0277475607282876,0.0379252683501095,0.0170794869531499,0.0358792654953272,0.00619989474551462,0.0232238332669518,0.0131598225449465,0.0319856820701161,0.490819053735042,0.713288278575827,0.624795581650272,0.0648167348011445,0.0441324100352028,0.0398137834423965,0.0374836613113388,-0.0525528921528413,0.00725340828093246,0.00918178853362741,0.0314320828819999,-0.00877721036319736,0.0174753977378873,0.0204653466866479,0.0258285075208556,0.219271604522532,0.0450714086904277,0.533842226009807,0.735482944306859,0.624795581650272,0.0648167348011445,0.0441324100352028,0.0398137834423965,0.0374836613113388,-0.0525528921528413,0.00725340828093246,0.00918178853362741,0.0314320828819999,-0.00877721036319736,0.0174753977378873,0.0204653466866479,0.0258285075208556,0.219271604522532,0.0450714086904277,0.533842226009807,0.735482944306859,0.620612335605483,0.061385082389426,0.0405393659647235,0.0368145619072747,0.0353565275077034,-0.0475189115108041,0.00495203009092918,0.0101619468144563,0.0231602362812915,-0.0206525472828936,0.0217587685676617,0.0204127364277309,0.0289209289085568,0.218862996338642,0.029812820192846,0.0367327376201991,-0.0399958955878035,0.000184328039637225,0.050966786416028,0.472866795836753,0.739228956184596,0.0318857250249123,0.0334539261632958,0.0363863592415107,0.0363863592415107,0.0322303112575101,0.0253916074540028,0.0238234063156193,0.0208909732374044,0.0208909732374044,0.0250470212214049
"ES.05_8",56.252696,54.971068,14.3363863101009,14.224775109266,-0.200637489699807,-0.230350107271414,-0.498398699955036,-0.393347242106046,500,500,14.2806897477265,0.0897455250860017,1.00749720313556,1.02429858096287,1.12931591878371,0.89125031071366,0.919810110341693,1.22682283044582,0.990306033419684,1.00179872373225,0.998197956861817,1.01283817938828,1.00522211639035,0.997251521948185,0.998469940814833,0.786850111896156,1.00414879144729,1.00528136781627,0.996704470866642,0.934212310427605,0.997241632899347,0.950256958852603,0.816525541706818,0.187777458183989,0.667260762540076,0.778231116874569,0.0106812155684199,0.0968780396864891,0.0600855527827467,0.0235945110106501,-0.037442116086374,0.0152131058098686,0.0407246648588666,0.030800138495742,-0.00411617927530936,0.01930617073508,0.00239464520516894,0.0134181784403341,0.315000679487742,0.681434287573909,0.630434936296702,0.0304652192278465,0.0517194964091809,0.0385981604768155,0.0177052842884877,-0.0681705752606913,-0.0213629769051189,0.0308775018635743,0.0178508842011773,-0.00481070901875333,0.019904749531812,0.011746763882373,0.0110582459126268,0.222125538543166,0.0380696654132267,0.31455381903019,0.706422806953612,0.630434936296702,0.0304652192278465,0.0517194964091809,0.0385981604768155,0.0177052842884877,-0.0681705752606913,-0.0213629769051189,0.0308775018635743,0.0178508842011773,-0.00481070901875333,0.019904749531812,0.011746763882373,0.0110582459126268,0.222125538543166,0.0380696654132267,0.31455381903019,0.706422806953612,0.622920368055572,0.0266407229667661,0.0437466510600572,0.0307694772177597,0.0134299000523875,-0.0640351497879984,-0.0265412530826441,0.0315774248087894,0.0158568690283172,-0.0134689406459118,0.0214428741830428,0.0121925541111328,0.008842238516675,0.228750249343646,0.0321497328648049,0.0273792497718104,-0.055068467434894,0.018606928777235,0.0407972792736192,0.306022637360483,0.710027148026149,0.0131490468248484,0.0220578056839229,0.0220265144462134,0.0220265144462134,0.021429121615726,0.0765964782611532,0.0676877194020787,0.0677190106397882,0.0677190106397882,0.0683164034702756
"ES.05_9",56.642898,55.801276,14.0564578430622,13.8516301690633,-0.128686652147901,-0.225954831278,-0.449959482638239,-0.398032242780415,500,500,13.9544198273215,0.0603122172340101,0.999675940061383,1.01612981273287,1.23501572222565,0.986985035903199,0.94321833361614,0.892443749959271,0.995718870314617,1.02598104174033,1.02661270387846,1.00460414340087,1.01347770710819,0.997355338110246,1.00505407433316,0.741307090252071,0.997301422292621,1.00539777999166,1.04059993442777,0.993053204101193,1.03932950485141,1.03028305297492,0.839064742842434,0.892073952413004,0.704936754945708,0.790142483009494,0.0301916111064346,0.0825415046561842,0.0249360100118903,0.043863141263903,-0.0305261398000352,-0.0255717493475495,0.022572789250711,0.0411095979199872,0.0536761926771136,-0.0107940876446007,0.0130830956305134,0.000979020634423655,0.868293326118163,0.717697359761983,0.641572722530567,0.0442830411644487,0.0375862446419267,0.00984507081361495,0.0379820449883081,-0.0641039132735663,-0.0360166962017647,0.0125381170581983,0.0122748934431119,0.0460251565397992,0.000234982554531636,0.0137545220986665,-0.00561319421636263,0.186765691494965,0.0712817850147327,0.875070947498084,0.738616450592966,0.641572722530567,0.0442830411644487,0.0375862446419267,0.00984507081361495,0.0379820449883081,-0.0641039132735663,-0.0360166962017647,0.0125381170581983,0.0122748934431119,0.0460251565397992,0.000234982554531636,0.0137545220986665,-0.00561319421636263,0.186765691494965,0.0712817850147327,0.875070947498084,0.738616450592966,0.640165638570802,0.043836262446381,0.0309253508016818,0.0065378362503037,0.0344874752644354,-0.061662094834068,-0.0435637862148557,0.0134533317506693,0.00972578896127864,0.0447699535593982,0.00111753153535166,0.0124636462181086,-0.00446270556893034,0.187583694657974,0.0660907231900342,0.020137090334079,-0.026848200213035,-0.00855185578826949,0.0196240912156167,0.865537735158521,0.739769620582279,0.0639276991413431,0.0622235346838369,0.0627092317936982,0.0627092317936982,0.0620260638470883,-0.003615481907333,-0.00191131744982682,-0.00239701455968813,-0.00239701455968813,-0.00171384661307823
"ES.05_10",56.163002,56.15793,14.001444844496,13.7782228810765,-0.0207988384006136,-0.216642548983988,-0.571350327819333,-0.53698589443894,500,500,13.8902822774428,0.00036514736696476,0.998980181721178,1.04082565810961,0.895225453001491,0.925478841089686,1.05552001872656,1.36618530337677,1.01396884548765,1.04916453126726,1.1795098809317,1.0022682917966,1.00228050541465,1.00280537881856,1.00561911943058,0.971263153276204,1.00532760071279,1.0106508735437,1.11223971794003,0.995869362327181,1.05041031200407,1.02015949802346,0.809704605959344,0.151412500638962,0.655593777728944,0.767188517006616,0.0281518028269634,0.0347929733436065,-0.0130248981587576,0.0311089318446368,-0.00909932230140686,0.0537982492138116,0.0382351330549157,0.0302741781671187,0.0144285722419136,-0.00776756501561566,-0.0237945115339679,-0.026077608580917,0.0832297064500507,0.668667248033851,0.612959431478213,0.0481523839411395,-0.0202344868439868,-0.0361363563609178,0.0156751050910849,-0.0423251975870384,0.00875465846996576,0.0353647154341888,-0.00559334358787682,0.0284590082685851,0.00479948141472402,-0.00683448375149516,-0.0444505639690458,0.209824256104468,0.0715035320382941,-0.151591584336929,0.695156367418931,0.612959431478213,0.0481523839411395,-0.0202344868439868,-0.0361363563609178,0.0156751050910849,-0.0423251975870384,0.00875465846996576,0.0353647154341888,-0.00559334358787682,0.0284590082685851,0.00479948141472402,-0.00683448375149516,-0.0444505639690458,0.209824256104468,0.0715035320382941,-0.151591584336929,0.695156367418931,0.60848196073424,0.040406037482626,-0.0152944732849076,-0.03275545301746,0.0174561347926723,-0.0397650001287598,0.00474831922636175,0.0351496152670297,-0.00907935662944492,0.0307776188357884,0.00570656277268784,-0.00592500733547017,-0.0451947741976573,0.215403654777013,0.0639779889164525,0.0144008949755657,-0.0215800877534601,0.0474799700369051,0.0189830484760933,-0.204749439604829,0.697507522604366,0.0109006064538263,0.00599193772938739,-0.0109134991866297,-0.0109134991866297,-0.0147404808279046,-0.0105354590868615,-0.00562679036242263,0.0112786465535945,0.0112786465535945,0.0151056281948694
