"","Gr.1.Mean","Gr.0.Mean","Gr.1.SD","Gr.0.SD","Gr.1.Skew","Gr.0.Skew","Gr.1.Kurtosis","Gr.0.Kurtosis","Gr.1.N","Gr.0.N","Pooled.SD","SMD.ES","A_IMTHIMP","CG_GENDER_R","CR_RACE_B","CR_RACE_W","CR_RACE_H","CR_RACE_O","CA_IAge","CSES_MOTHEMP","CSES_FATHEMP","CSES_MOTHED","CSES_FATHED","BS_ISCIIMP","CHL_JM272O_R","DAL_Persist","DSE_SelfEsteem","DLC_Control","DFS_FeelSchool","DEXP_SEDEX11","EEXP_JK76","EPAL_PCOPH11","EPEL_KMHSCPH11","A_IMTHIMP_1","U.TX_1","Y.R2_1","A_IMTHIMP_2","CG_GENDER_R_2","CR_RACE_W_2","CR_RACE_H_2","CR_RACE_O_2","CA_IAge_2","CSES_MOTHEMP_2","CSES_FATHEMP_2","CSES_MOTHED_2","CSES_FATHED_2","U.TX_2","Y.R2_2","A_IMTHIMP_3","CG_GENDER_R_3","CR_RACE_W_3","CR_RACE_H_3","CR_RACE_O_3","CA_IAge_3","CSES_MOTHEMP_3","CSES_FATHEMP_3","CSES_MOTHED_3","CSES_FATHED_3","BS_ISCIIMP_3","U.TX_3","Y.R2_3","A_IMTHIMP_4","CG_GENDER_R_4","CR_RACE_W_4","CR_RACE_H_4","CR_RACE_O_4","CA_IAge_4","CSES_MOTHEMP_4","CSES_FATHEMP_4","CSES_MOTHED_4","CSES_FATHED_4","BS_ISCIIMP_4","CHL_JM272O_R_4","DAL_Persist_4","DSE_SelfEsteem_4","DLC_Control_4","DFS_FeelSchool_4","DEXP_SEDEX11_4","U.TX_4","Y.R2_4","A_IMTHIMP_5","CG_GENDER_R_5","CR_RACE_W_5","CR_RACE_H_5","CR_RACE_O_5","CA_IAge_5","CSES_MOTHEMP_5","CSES_FATHEMP_5","CSES_MOTHED_5","CSES_FATHED_5","BS_ISCIIMP_5","CHL_JM272O_R_5","DAL_Persist_5","DSE_SelfEsteem_5","DLC_Control_5","DFS_FeelSchool_5","DEXP_SEDEX11_5","EEXP_JK76_5","EPAL_PCOPH11_5","EPEL_KMHSCPH11_5","U.TX_5","Y.R2_5","Adj.ES_1","Adj.ES_2","Adj.ES_3","Adj.ES_4","Adj.ES_5","ES.Diff_1","ES.Diff_2","ES.Diff_3","ES.Diff_4","ES.Diff_5"
"ES.05_1",67.86274,67.3083,13.8415099279874,13.72387350269,-0.143179371132118,-0.336983028463658,-0.502412883387007,-0.155988785330259,500,500,13.782817219357,0.0402268992743607,1.00428676696243,0.922721441708799,0.837662337735435,0.905219259447064,1.16152479401196,1.72674418604651,0.779958144316914,0.999999999999871,0.498998545723948,0.937203595418888,0.950145952819684,1.00025586089583,1,1.02373604426177,1.00781899332948,1.12079776926616,0.948523793589684,1.06862764110869,1.05263885709465,1.16233040068263,1.00716106282823,0.94664023750231,-0.187851290110344,0.895806653061904,0.905845122107469,-0.01021100653162,0.0442356852149389,-0.00459265295874692,0.0310346236377312,-0.0543856617912036,-0.00183783951787958,0.00948794812863146,0.0135090688478228,0.00647332993105078,-0.228534822685533,0.901122229561881,0.814198660328387,-0.00244460123809459,0.0265730830268825,-0.0100004896900041,0.0266338784096035,-0.0534674921177603,-0.00094112464091431,0.0079340325792559,0.0101795388722566,0.00272816246901263,0.125052934084357,-0.163716374267924,0.906768297211231,0.806717425582879,-0.00390954584239267,0.027358000336217,-0.00198829462528841,0.0263437731236811,-0.0506129967336526,-0.00154871598098536,0.00813232745239533,0.00706416986024545,-0.00267876982266191,0.116876530784561,-0.0132633313299542,0.00244031903956677,-0.00437191722067892,0.0171979149598139,-0.00529480227503645,0.0215699042515146,-0.210557190294632,0.907444306997581,0.802047803015911,-0.0052410418564681,0.027373084682179,-0.00107671595338497,0.0266179763437778,-0.0523738074465889,-0.00132139972575976,0.00787546789123611,0.00728067001514545,-0.00339356246057568,0.115713894388227,-0.0138522133442143,0.00185297864213045,-0.0026602372234714,0.0185980529930557,-0.0051544775370419,0.00827190967991869,0.031750147170548,-0.0186112089278467,0.00300250748174919,-0.190325522013424,0.907826730755481,-0.0136293826668846,-0.0165811400563719,-0.0118782953921783,-0.0152767889861384,-0.0138088983539682,0.0538562819412454,0.0568080393307326,0.052105194666539,0.0555036882604991,0.0540357976283289
"ES.05_2",67.8439,66.91086,13.3289182273816,14.1746913903769,-0.258461625892507,-0.226407518128221,-0.393000980798409,-0.502733571906565,500,500,13.7583054393455,0.0678164912178585,1.00216627040614,1.10086237329158,1.20220588222528,0.844463886477077,1.10267467528922,1.19784741986547,0.894583031145796,0.855407750219181,2.51515151514612,1.12405240919629,1.08175221173155,0.999961515270554,1.09314456035586,0.857450868498808,0.875109506114952,1.10537320418831,1.19423899207822,1.06853306822763,1.10449070315104,1.08200628397502,1.07032372001367,0.938432140114271,0.565713279937651,0.881627274418181,0.915376624872778,-0.0315229651841183,0.0226469329760468,-0.00928742102159555,0.0292681199613691,-0.0279688114578018,0.00737057805593285,-0.00426284119428122,0.0172904107554366,0.00130118618353843,0.562058602039252,0.884613576587091,0.808766353682975,-0.0175445747826258,0.00158294564787304,-0.0108860214431568,0.0241839069331878,-0.0262141352636789,0.005258782392083,-0.0075120997983284,0.0114863783987837,-0.000220707739249914,0.143583188553116,0.593102752497323,0.891331499615407,0.798355053447112,-0.0279870319502959,0.00618986463055806,-0.0140252851272761,0.0254447744950332,-0.0220023544557661,0.00626063719198469,-0.00645442079461032,0.00699962238531404,-0.00559584298542962,0.133702761458147,0.0154029838170665,0.0165490464641733,0.00520969406053663,0.0198520591411325,0.0137255984648144,0.0365368045332519,0.56782238007749,0.893003998163692,0.792454595071937,-0.0283818238482092,0.00925890295162885,-0.0107542978269502,0.0267109460074092,-0.0223888671357248,0.00805313563802157,-0.00766963547530251,0.00416578284888837,-0.00860068298933685,0.131596866471463,0.0131138550336547,0.01438729852662,0.00773994776140323,0.020122000081311,0.0107181964277312,0.0138246791190145,0.0336995322470309,0.00329777253693949,0.0129805870252147,0.529001363301185,0.893612564737058,0.0411179474413938,0.0408523131367542,0.0431087065999559,0.0412712439464857,0.0384496016339603,0.0266985437764648,0.0269641780811043,0.0247077846179027,0.0265452472713729,0.0293668895838982
"ES.05_3",67.5847,67.31924,13.4794058799248,12.7969114753919,-0.242186899545348,-0.252719775721448,-0.27480557638117,-0.396289105527568,500,500,13.1425896646127,0.020198454549241,0.999925534670621,0.984070345354916,1.7008760951189,0.816743827224295,0.930011198208506,1.25586353837191,1.14506956275937,0.663978531290394,287237.582802811,1.07106985889685,0.963811622109731,0.996191647629543,0.675780852446043,0.974527071359226,0.959228761750169,0.980307700038516,0.957793586694029,0.981771962980496,0.992616962855315,1.15249806997307,1.01423208608111,0.943015081331224,0.277429623728996,0.88937942420266,0.914799804850704,0.0140127067869121,0.019385185454224,0.00155864846095552,0.0148265223014734,-0.027191626538195,-0.00887524312534525,-0.00175911982533891,0.000506444517584656,0.0460012077070427,0.332968810266485,0.892776603350134,0.793002049864853,0.0249547463123412,-0.00134041961720627,-3.62241936850031e-05,0.0121866905740394,-0.0299353504454891,-0.0108846064927286,-0.00698565908684666,-0.00780189596151756,0.0381930085697492,0.167384537468215,0.410125338358356,0.902839685745403,0.781496798997673,0.0200886648792741,-0.000241411708646972,0.0125353394778916,0.0099508889550388,-0.0238502498960943,-0.0122686451413003,-0.00908476159110987,-0.0086576645365448,0.0282084976479636,0.16386298638328,-0.0226559436882925,0.0248510080821023,-0.0137455310017885,0.0041148141703998,0.0130584547291545,0.0395444376114014,0.404308330051557,0.904610151765657,0.777273934619083,0.0186145685869523,0.0017149550122062,0.0152929196226888,0.0109163887363874,-0.0244670296916799,-0.0126121260356482,-0.00895673847246676,-0.00855257341478654,0.0257118809744593,0.163245078972727,-0.0233543285085018,0.0244388760629116,-0.0123315209978734,0.00447910917661185,0.012576250608467,0.0226852094803233,0.0275575632492714,-0.00314541626138332,0.00476099137283964,0.407645078700805,0.904886418930324,0.0211092053247309,0.0253350989997828,0.0312058238767543,0.0307632164108557,0.0310171046272879,-0.0009107507754899,-0.00513664445054177,-0.0110073693275133,-0.0105647618616147,-0.0108186500780469
"ES.05_4",68.08242,67.99454,13.2773081974299,13.8680551446622,-0.191486810935712,-0.302916351023025,-0.407227880932586,-0.353952626904034,500,500,13.5758953013223,0.0064732379006664,1.00055523773596,1.1007861318282,0.88419032493501,1.30557864304261,0.828377740738368,0.740663904877229,1.06628784837878,0.746963567253288,1.50301802565073,1.02573838134659,0.974785822217158,1.00226373099196,0.962915025687471,0.936801566232374,0.88633148102213,0.913974860509715,1.08047665119558,0.960668534807887,0.954570036855537,0.95293074669587,1.0719370644258,0.942884557451567,-0.00497728138683183,0.889030066014486,0.918847421735632,-0.0176785385743277,0.0206498207190906,0.00935873061754451,0.00802026522198944,-0.0430551661303751,-0.018959110393252,0.00614289787840694,0.00780452895422376,0.0110336945736505,-0.00379567560616608,0.891819451426132,0.822599387473842,-0.00352769833558398,0.00625177302162696,0.00671825746965202,0.00864984908634038,-0.0412696433164586,-0.0166525455779931,0.00226911215781132,0.000598262167937873,0.0102672993569692,0.127884702095368,-0.0217644897956553,0.897300089681844,0.815713394220074,-0.0104190069838646,0.00955106141718202,0.0077791683939131,0.00921239656455331,-0.038148790672883,-0.0164375090171565,0.00297189477230007,-0.0028055449567998,0.00342415870091883,0.120587221366426,0.00376894660307897,0.017913148529225,-0.00444442486899053,0.0083529220956998,0.00680040378000077,0.0306821247194598,0.00981679469816726,0.898189016145423,0.817028789180272,-0.0107665276673633,0.00773873742495443,0.00778554574903857,0.00950953061960701,-0.0394700034259873,-0.0162291020107888,0.00360750029678801,-0.00262890590976227,0.00431160973154556,0.11931909410517,0.00292248674215971,0.0188165907509834,-0.00407332196385554,0.0090871302292078,0.00655529390054841,0.035382194269973,0.000120917659638669,-0.0124532892263771,0.00515444698646987,0.00626668841482979,0.89832243870056,-0.000366626382743762,-0.000279589339923414,-0.00160317160029478,0.000723104773591698,0.000461604061886026,0.00683986428341016,0.00675282724058981,0.00807640950096118,0.0057501331270747,0.00601163383878037
"ES.05_5",68.15472,67.70686,13.1703083854379,13.4402912020384,-0.186611477312967,-0.260964213560042,-0.232475414963347,-0.312042458071963,500,500,13.3059845664108,0.0336585389652829,1.00138590626971,0.886621315192975,0.983225979602789,1.01032119560729,1.18087855288292,0.769736843774307,1.03495095130488,0.597585645751301,0.164996723681006,1.03204846400716,1.00945588747433,1.00641699077365,1.1475796929971,0.872269161440467,0.893126851654918,1.10283145199021,0.961527125268093,1.03359560767816,1.05111579830897,1.04556195295303,1.0188255182183,0.939458300973609,0.224161179953355,0.882794829176123,0.914537360794197,-0.0198201565626381,0.00274209578659722,-0.00824395344571319,0.0124968748816007,-0.0417433473104311,-0.00813881476374454,0.0184585919212763,0.00959925463568715,0.0163001860333406,0.255468397089162,0.885813631292934,0.827923301614268,-0.010995703090176,-0.0046782134860365,-0.00345240626064318,0.0134594402962219,-0.0418020648030817,-0.00766459444427826,0.016139521454791,0.00618547013174913,0.00954194297409833,0.114143448939891,0.17525855025268,0.890183285872512,0.814839868359216,-0.0181177213609992,0.00280099708398073,0.0107643146417276,0.017432852845442,-0.0351914875683306,-0.00754116915481286,0.0168636014533224,-0.000329790033989717,0.00452302016052132,0.106344074964035,-0.0218083306565512,0.00331594137831474,-0.00118828420816587,0.0158207521101269,0.0142412130623269,0.0339193427566027,0.158556074598971,0.891933548179988,0.811283054645893,-0.0198283094296211,0.00582471549724339,0.0130259689265912,0.0176628615318433,-0.0364208393274169,-0.00703427397153164,0.0149821051299306,-0.00158414509666603,0.00263708955106068,0.104712004728838,-0.022279377296228,0.001455280583752,0.000197970401855968,0.0155632774737154,0.0116934560126918,0.015580539872277,0.0280426107194524,-0.00162126092930779,0.00710288198177801,0.13732640008126,0.892239735846729,0.0168466436162282,0.0191995110030457,0.013171407901306,0.0119161474904476,0.0103206492834752,0.0168118953490547,0.0144590279622371,0.0204871310639769,0.0217423914748353,0.0233378896818077
"ES.05_6",67.40526,67.9485,13.7756600477764,13.2850293925879,-0.236969390620129,-0.273153674695359,-0.390710266917938,-0.371550705517768,500,500,13.5325684131621,-0.0401431556386326,0.999625503785626,0.945530378486051,1.29529634939669,0.741081171911267,1.10488777008352,1.45592701597559,1.00908436411876,2.01626016260155,0.498998545723957,0.95281976905936,1.02353123052942,0.999222933514254,0.960116669601001,0.872612526814502,0.967796305289005,1.06121777824427,1.1090277877756,0.989791704953815,0.983086736183923,1.01582275325571,1.02666137305736,0.945967989116326,-0.479589088643856,0.895253409473571,0.913979840725078,-0.00975614257321705,0.0333237054659842,0.0121216788218431,0.0216696928093441,-0.0458693743001312,-0.00507341496351175,0.00499460470003705,0.015768060328757,0.00937418628276494,-0.43890332814994,0.898297120881202,0.820082217028511,-0.00096213824055991,0.0180950467808919,0.00931441514921546,0.0170330791477581,-0.0475641204408628,-0.000907331741081471,0.00252826401116581,0.00714913026456246,0.00871614875592714,0.123749653455545,-0.458241926235415,0.903267580048283,0.820748996835119,0.00112935029868392,0.0156668510472609,0.0120309952643576,0.0158557146934082,-0.0465492342235507,-0.00199209083521934,0.00335581825703534,0.00625102333575868,0.00851330764315754,0.1270735106333,-0.00639184627853834,0.0144675342030209,-0.00241673291799868,-0.00840063055017099,-0.00705857906944274,0.00751040811497588,-0.433503343665675,0.90365002601014,0.815965155255634,-0.000736587671854671,0.0180383636606365,0.0155481859103203,0.0174932393195725,-0.0482099862811328,-0.00145596197514108,0.00194155450810896,0.00564101774253954,0.00580542883730879,0.123108047607509,-0.00847690334057628,0.0137916145621852,0.00126610569037584,-0.00731810253920702,-0.0101259796119758,-0.0164146062912122,0.0426663261847388,-0.0106167367642133,0.0176542344245958,-0.426566311412467,0.904517881749171,-0.0354396204771737,-0.0324331135635014,-0.0338621547842844,-0.0320340773776571,-0.0315214598137614,-0.00470353516145888,-0.00771004207513121,-0.00628100085434819,-0.0081090782609755,-0.00862169582487123
"ES.05_7",68.41036,67.4383,12.9918590769354,13.4478206960439,-0.132847110891783,-0.274027453533489,-0.465383560741943,-0.220484011678863,500,500,13.2218055451571,0.0735194597046577,1.00446762632001,1.22189086518582,0.867947575203461,1.1475930971783,0.933774834437228,1.29117167214973,0.963769500762705,0.395161290323361,0.665328015321971,0.981753544336789,1.07796055585711,1.00329781364709,0.863107460688466,1.01549281704681,1.00520267293215,0.930771330965685,0.931638284474653,0.969828963304034,1.01633707723339,1.02171012275702,0.984832996658324,0.937268689707372,0.271610517846766,0.879122659750288,0.905708647670579,-0.0113676538048386,0.0116704991049802,-0.0213520380104333,0.0131289065458124,-0.0380216069001283,-0.00348836415770047,0.00700007110230735,0.039150051375476,-0.0015715117761906,0.289026499559142,0.88271843638556,0.817870988795967,-0.00477487503427826,-0.00111425833944878,-0.0192697981978669,0.0073345012323158,-0.0376136975414945,-0.00846168170214242,0.00703386432212764,0.030259743768996,-0.00177822207934123,0.12018085999461,0.292555324547368,0.887943109132576,0.808149211146155,-0.00714906141424179,0.00649310618989791,-0.0130410424939643,0.0103076191244518,-0.0324846226007678,-0.00524274179792749,0.00394645206822688,0.02761912323366,-0.0104995833884676,0.11500669116754,-0.00332340243840757,-0.0135062968102336,-0.0102571481475677,-0.00733227373559249,-0.00228297625684517,0.0364863526745808,0.32833817010095,0.88933329140711,0.80208797982872,-0.010338870065025,0.00669529475612312,-0.0106641151782701,0.0111955115749708,-0.0348165810475512,-0.00500472788246406,0.00426250418885924,0.0248499502764008,-0.0115948407248134,0.114019949554759,-0.00645924499969419,-0.0151911221829355,-0.00771630435311147,-0.00642543615843265,-0.00537559223625795,0.0197108980538199,0.0348295108861009,-0.0148892193750978,0.0170128860074869,0.323853416014245,0.889948462052492,0.0205426193055949,0.0218598359030477,0.0221267302372727,0.0248330811536714,0.0244938873823375,0.0529768403990628,0.0516596238016099,0.051392729467385,0.0486863785509862,0.0490255723223201
"ES.05_8",67.80716,68.04468,14.0438065972828,13.4793622144751,-0.183821394582345,-0.260463990326762,-0.164935807340834,-0.352777665921005,500,500,13.7644780041036,-0.0172560121734506,0.998442062148428,0.945380774032464,0.859234234262044,1.02256725040621,0.976110845676063,0.879051765859955,1.16949521292559,2.00806230390334,1.27817853788462e-06,1.01285327914643,1.04291570390411,0.995771761230672,1.07363770250333,0.952556781487572,1.10000294414861,0.883861631506194,0.91914738984074,0.978437379768258,0.996727757424966,1.01343339883341,0.95869018695001,0.941995840713951,0.0281235692086754,0.887337455498224,0.92272655255552,0.0112458288163907,0.00211078616717053,-0.0101584272377785,-0.0105805574625782,-0.0211980699553094,0.00664402813723439,0.00735207111903441,0.0189448158222775,0.0259522495824949,0.0251344585413437,0.889687542989969,0.824586490687639,0.0205690315716562,-0.0122746974489953,-0.00984217929385842,-0.0105185368969009,-0.0217179270651126,0.00607644597036092,0.00661086717114974,0.00854937631471602,0.0259940905250142,0.130726055917705,0.0891947761238067,0.895442848575691,0.815580306915766,0.0160003902966531,-0.00778591620655115,-0.00504030555266351,-0.0100144222031585,-0.0167290233807606,0.00561339555734748,0.00718838916116537,0.00673067174219268,0.020808626436665,0.12371925818128,-0.00638574384221804,-0.000846518484696713,-0.00231646581851576,0.0118175344558519,0.00516989441419196,0.0230961718557391,0.107957725333705,0.896078836802447,0.814911367873195,0.0156220835367844,-0.00674463096524454,-0.00325888775661084,-0.00936051277832183,-0.0177942086505786,0.00519293118702406,0.00816952968706859,0.00563962345713071,0.0202463042485019,0.123013437258702,-0.0075464427785116,-0.000256120732860839,-0.0010236109480709,0.011239382667529,0.00365309749999298,0.0186433972341267,0.00806463382519456,-0.00514723410142709,0.0153658899312655,0.117563611710494,0.896309978042121,0.0020431991100782,0.00182603790233458,0.00648006964719006,0.0078432124561149,0.00854108754981084,-0.0192992112835288,-0.0190820500757851,-0.0237360818206406,-0.0250992246295654,-0.0257970997232614
"ES.05_9",67.8576,67.63472,13.1978031602427,12.9886730105407,-0.231907820608822,-0.28286431623371,-0.257054018659605,-0.435932681115705,500,500,13.0936556169632,0.0170219842739148,1.00342366851891,0.865107913669961,1.11863334387416,1.01099384344767,0.933774834437228,0.919198448611065,0.87167481979586,1.60975587835284,2.00806230390333,0.975984198591596,1.02613256517734,0.996621082350254,0.910823467397837,0.900394174739182,1.01812956642336,0.862231428116173,0.993214480071045,1.05599076628612,1.05726963929105,1.08851789049815,1.06935218467848,0.936510420890683,-0.305575769867174,0.876716332878907,0.916663721476945,-0.0214136432406226,0.0103121616084172,-0.0216291408409111,0.0217414596383542,-0.0444338422369836,0.0057094849275591,0.00929518084316768,-0.0020672616646319,0.00348529049312203,-0.361586553203983,0.87974627380038,0.814780707647591,-0.0131555174544325,-0.00950695037693411,-0.025429144729983,0.0164934034776139,-0.0465779756916666,0.0044195096577536,0.0119389082062165,-0.00591667578068494,0.00541410415130119,0.133439298648154,-0.238841662135204,0.886035294031697,0.804106908974207,-0.01860160868269,-0.00245276614565908,-0.014109155831831,0.0171563742028734,-0.0397200646772565,0.00517414396481303,0.00986261565338925,-0.00942020032979498,-0.00553943316749812,0.128023525824535,-0.0143981774061851,0.0219286360710049,-0.0195114215649398,-0.00318979682915467,0.00785219008849853,0.0484445365421876,-0.25898404138021,0.888220753729936,0.801739491438062,-0.0192954768006199,-0.0029898289789929,-0.0111399086095977,0.0171875348415664,-0.0430064485643492,0.00413797170967984,0.00998289864923984,-0.00981940972273486,-0.00606169911586261,0.125765662046941,-0.0175622245893258,0.0237171312990495,-0.0184535786199273,-0.000223268878173932,0.00416163410640621,0.0426795657718438,0.0263258012499155,-0.0288318398668949,0.0279959192012983,-0.27390676111573,0.889374793266849,-0.0233376971875824,-0.0276154012127475,-0.0182410221501304,-0.0197793533720781,-0.0209190442400881,0.0403596814614972,0.0446373854866623,0.0352630064240452,0.036801337645993,0.0379410285140029
"ES.05_10",68.4789,67.32262,13.4619285405197,13.2332557691637,-0.219742175481238,-0.281792529176677,-0.313143975625581,-0.35546898202008,500,500,13.3480818525016,0.0866251805148539,1.00412640342001,1.41194052674647,0.963842788444161,1.10344827586144,0.881595150147521,1.17655367221371,1.05192577535202,0.663978531290398,3.01206205705548,0.97878132255831,1.01693844149308,0.999317795071073,0.859318393905835,0.939301556713076,0.873287086177537,1.05404495842981,1.1115666570295,0.992342474053504,1.01701802153257,0.968715792359527,0.914636837300106,0.937204115844247,0.482018171934691,0.879589778759694,0.908888940000378,-0.00418448415319737,0.0055863348805831,-0.0200510035835845,0.00995264187106489,-0.0456664596002803,-0.0104392492664477,0.0179527936929912,0.00924634476644352,0.0202157959016811,0.482807436019555,0.883141879927074,0.839406814906362,0.000715230140819557,-0.00260101790889277,-0.0175462085410629,0.0116163836401454,-0.044133924224258,-0.00994816573556525,0.0157158095466588,0.0063994382472188,0.019246773603903,0.0925230866266489,0.536952882311341,0.886224954028753,0.833704927734719,-0.00660378647472671,0.00386951561853737,-0.00749761097122724,0.0118450818112452,-0.039455800439886,-0.0117801095787621,0.0151516895448298,0.0052697420942102,0.0114671580833994,0.083155429631325,-0.0133949459881742,0.0126744625462349,-0.0224486162888807,0.0139842436290059,0.0137946248634559,0.02037667579642,0.522502875685555,0.887634831704443,0.830591905210931,-0.00844746911159292,0.00829704247945077,-0.00371789084021801,0.0123453532937662,-0.0406758688111449,-0.0119087841650459,0.0163542563883569,0.00382643372760974,0.00966983449482298,0.079734370821313,-0.0144909417831182,0.0129861676693861,-0.0212861359780606,0.0140447056393686,0.00997070441416204,0.00494086637248496,0.0260240219835868,-0.0051428768408039,0.0209843340397527,0.544002934778412,0.888242986685164,0.0361114186488417,0.0361705480498737,0.0402269695559823,0.0391444165131211,0.0407551392619352,0.0505137618660122,0.0504546324649802,0.0463982109588716,0.0474807640017329,0.0458700412529187
